Sample	Population
ARI_159357_83_S15_L006	aridus
ARI_159357_84_S3_L006	aridus
ARI_195935_1_S8_L006	aridus
ARI_T84_79_S1_L006	aridus
AUR_T102_3_S33_L003	aurantiacus
AUR_T104_9_S36_L003	aurantiacus
AUR_T50_2_S46_L003	aurantiacus
AUR_T92_6_S40_L003	aurantiacus
CAL_T144_3_S47_L003	calycinus
CAL_T150_10_S38_L003	calycinus
CAL_T90_2_S44_L003	calycinus
CAL_T91_7_S35_L003	calycinus
CLV11_S21_L006	clevelandii
CLV4_S20_L006	clevelandii
CLV_GH_S52_L003	clevelandii
ECSC_par_157_S347	parviflorus
ECSC_par_179_S276	parviflorus
ECSC_par_183_S287	parviflorus
GRA_T101_10_S43_L003	grandiflorus
GRA_T61_9_S37_L003	grandiflorus
GRA_T96_2_S51_L003	grandiflorus
GRA_T99_1_S49_L003	grandiflorus
LFP13_S10_L006	OC
LON_DPR_Y3_S34_L003	longiflorus
LON_SS_Y16_S39_L003	longiflorus
LON_T33_1_S41_L003	longiflorus
LON_T8_8_S50_L003	longiflorus
MTH15_S5_L006	OC
MTH17_S2_L006	OC
PAR_KK161_S6_L006	admixed
PAR_KK168_S32_L003	parviflorus
PAR_KK180_S22_L006	parviflorus
PAR_KK182_S16_L006	parviflorus
PUN-R_ELF11_S25_L006	red
PUN-R_JMC19_S11_L006	red
PUN-R_LH19-2_S13_L006	red
PUN-R_MT10_S19_L006	red
PUN-R_UCSD13_S4_L006	red
PUN-Y_BCRD11_S9_L006	yellow
PUN-Y_INJ10_S24_L006	yellow
PUN-Y_LO4_S18_L006	yellow
PUN-Y_PCT7_S12_L006	yellow
PUN-Y_POTR15_S14_L006	yellow
RPR16_S23_L006	OC
RUT_DPR_R12_S53_L003	longiflorus
RUT_MBR4_R3_S42_L003	longiflorus
RUT_SS_R19_S45_L003	longiflorus
RUT_WTF_S48_L003	calycinus
SC2_hyb_203_S320	longiflorus_island
SC2_lon_163_S278	longiflorus_island
SC2_lon_164_S289	longiflorus_island
SC2_lon_197_S300	longiflorus_island
SC2_lon_199_S311	longiflorus_island
SC2_lon_200_S321	longiflorus_island
SC2_lon_202_S331	longiflorus_island
SC2_lon_204_S340	longiflorus_island
SC3_hyb_105_S339	parviflorus
SC3_hyb_177_S277	admixed
SC3_hyb_178_S288	admixed
SC3_par_100_S309	parviflorus
SC3_par_170_S319	parviflorus
SC3_par_173_S329	parviflorus
SC3_par_97_S298	parviflorus
SCB_hyb_208_S349	parviflorus
SCB_hyb_211_S330	admixed
SCB_hyb_216_S299	admixed
SCB_hyb_226_S310	admixed
SCB_lon_207_S350	admixed
SCB_lon_209_S279	admixed
SCB_lon_218_S290	admixed
SCB_lon_221_S301	admixed
SCB_par_219_S348	admixed
VCR14_S17_L006	OC
VCR17_S7_L006	OC
