P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
aur	OC	ari	0.0587981	4.48114	7.42439e-06	0.0197076	469726	136314	121175
cal	OC	ari	0.0282337	2.74109	0.00612357	0.00865183	518042	119670	113098
OC	ari	gra	0.0101364	0.555449	0.578588	0.00353461	479202	188508	184724
lon	OC	ari	0.0497805	4.70606	2.52548e-06	0.0144337	530301	116239	105214
lon_isl	OC	ari	0.0237784	2.00817	0.0446256	0.00815953	477284	133399	127202
OC	ari	par	0.0447905	1.96409	0.0495201	0.0350453	189290	256395	234411
OC	red	ari	0.0468489	6.24016	4.37131e-10	0.012421	574216	104503	95149.1
OC	yellow	ari	0.0737812	9.95157	0	0.0213179	548101	116867	100807
OC	cal	aur	0.0524373	9.16992	0	0.0579321	212681	164070	147721
OC	aur	gra	0.135781	15.017	0	0.0288815	726302	129337	98412.9
OC	lon	aur	0.0527219	5.90065	3.62074e-09	0.0558809	222229	157337	141577
aur	lon_isl	OC	0.0279699	1.77767	0.0754574	0.0438028	165612	192469	181995
OC	aur	par	0.0192337	1.64584	0.0997959	0.00815695	418745	135573	130456
red	OC	aur	0.023678	3.77043	0.000162968	0.0204367	272856	127201	121316
yellow	OC	aur	0.0376894	4.76433	1.89484e-06	0.0347251	253435	139552	129415
OC	cal	gra	0.0700025	8.00818	1.16411e-15	0.01297	785089	106126	92239.6
cal	lon	OC	0.0531342	6.97992	2.95344e-12	0.0901848	200569	155499	139808
lon_isl	OC	cal	0.056689	4.19612	2.71523e-05	0.207194	145821	200308	178816
OC	cal	par	0.0181909	2.39482	0.0166283	0.0068182	468668	119694	115418
red	OC	cal	0.0579207	10.1658	0	0.160025	223896	143201	127521
yellow	OC	cal	0.0446331	7.19187	6.39095e-13	0.137546	202545	153622	140495
OC	lon	gra	0.04632	4.38108	1.1809e-05	0.00825902	799505	99800.9	90964.6
OC	lon_isl	gra	0.0405602	5.79784	6.7176e-09	0.00831188	743580	114112	105216
OC	par	gra	0.0576114	8.07952	6.50196e-16	0.0185631	502071	182337	162472
red	OC	gra	0.0114164	1.74473	0.0810311	0.00174256	856308	82763.1	80894.7
yellow	OC	gra	0.00622051	0.765465	0.443995	0.00102207	830323	88550.2	87455.4
lon_isl	OC	lon	0.01717	1.05096	0.293276	0.0582098	129765	199943	193193
OC	lon	par	0.0157318	1.63796	0.101431	0.00569454	480685	115316	111744
red	OC	lon	0.0759337	13.9802	0	0.16068	213024	148020	127127
yellow	OC	lon	0.073184	12.4891	0	0.166532	193300	160069	138237
OC	lon_isl	par	0.278398	15.5592	0	0.136037	409355	195925	110592
red	OC	lon_isl	0.0516114	9.52053	0	0.0486053	269235	134053	120895
yellow	OC	lon_isl	0.0515911	7.67642	1.63594e-14	0.0524497	248713	145303	131046
red	OC	par	0.0037903	0.553967	0.579602	0.00118046	532116	98171	97429.6
yellow	OC	par	0.00157417	0.242782	0.808174	0.000529057	507809	105636	105304
OC	yellow	red	0.000596352	0.072982	0.94182	0.00363102	131595	163563	163368
aur	cal	ari	0.0345381	3.95842	7.54463e-05	0.0111508	484653	128321	119753
ari	aur	gra	0.0701448	3.81537	0.000135977	0.0254474	455447	207033	179892
aur	lon	ari	0.0168729	1.87406	0.0609224	0.00535602	484218	124024	119908
aur	lon_isl	ari	0.0338564	3.72451	0.000195692	0.0116446	459772	136547	127604
aur	ari	par	0.0339562	1.54705	0.12185	0.0271073	174549	256794	239927
aur	red	ari	0.0923082	6.74109	1.57204e-11	0.031888	463092	144918	120425
aur	yellow	ari	0.114751	8.52051	1.59378e-17	0.0406114	458760	151546	120346
ari	cal	gra	0.0266805	1.54496	0.122355	0.00947107	468401	194381	184278
lon	cal	ari	0.0221506	3.97879	6.92661e-05	0.00582674	568429	102724	98271.6
cal	lon_isl	ari	0.00154075	0.209207	0.834286	0.000493942	505025	121948	121573
cal	ari	par	0.035782	1.67167	0.0945892	0.0284192	182599	256276	238569
cal	red	ari	0.0651675	5.64485	1.65328e-08	0.020965	503488	130150	114225
cal	yellow	ari	0.0915794	7.80102	6.14103e-15	0.0297852	504066	134881	112249
ari	lon	gra	0.0133648	0.839813	0.401013	0.00473553	466187	191569	186516
ari	lon_isl	gra	0.0136527	0.747708	0.454636	0.00479236	469187	189802	184689
ari	par	gra	0.0481182	2.82099	0.00478754	0.0150789	516865	175147	159065
red	ari	gra	0.0153459	0.826546	0.408495	0.00527063	487014	186966	181315
yellow	ari	gra	0.0133667	0.705509	0.480494	0.00455247	491665	184910	180032
lon	lon_isl	ari	0.0211207	2.91801	0.00352268	0.00631572	530203	116694	111867
lon	ari	par	0.0371094	1.84914	0.0644383	0.0295166	179146	257275	238864
lon	red	ari	0.0864683	6.83528	8.18438e-12	0.026661	511837	128021	107643
lon	yellow	ari	0.112512	9.15452	1.0842e-19	0.0354598	510075	133903	106819
ari	lon_isl	par	0.119272	5.29175	1.21151e-07	0.104643	160592	297244	233894
lon_isl	red	ari	0.0573116	4.28794	1.80338e-05	0.0204795	464812	143438	127888
lon_isl	yellow	ari	0.0805682	5.83302	5.4434e-09	0.0293155	462821	149253	126996
red	ari	par	0.0468362	2.21182	0.0269788	0.0361827	196210	253961	231237
yellow	ari	par	0.0463333	2.12947	0.0332152	0.0355547	200928	251973	229657
red	yellow	ari	0.0324399	4.6412	3.46392e-06	0.0090161	569927	106725	100018
cal	aur	gra	0.0756136	8.44124	3.14419e-17	0.0161306	734498	121183	104146
lon	cal	aur	0.00213204	0.359305	0.719367	0.0022173	248061	138689	138099
aur	lon_isl	cal	0.069098	4.17632	2.96266e-05	0.207066	149944	209795	182676
cal	aur	par	0.00323516	0.37687	0.70627	0.00134788	429735	130213	129373
