branch	branch_descendants	Outgroup	gra	ari	par	aur	lon_isl	OC	cal	lon	red	yellow
b2	gra	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b3	ari,par,aur,lon_isl,cal,lon,OC,red,yellow	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b4	ari,par	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
b5	aur,lon_isl,cal,lon,OC,red,yellow	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
b6	ari	nan	0	nan	nan	0	0	0	0	0	0	0
b7	par	nan	0.0150789	nan	nan	0.10368	0.22494	0.078874	0.114949	0.111814	0.0669482	0.0594494
b8	aur	nan	0.024846	0	0	nan	nan	nan	nan	nan	nan	nan
b9	lon_isl,cal,lon,OC,red,yellow	nan	0	0	0	nan	nan	nan	nan	nan	nan	nan
b10	lon_isl,cal,lon	nan	0.00926927	0	0	0	nan	nan	nan	nan	nan	nan
b11	OC,red,yellow	nan	0	0.00865183	0	0	nan	nan	nan	nan	nan	nan
b12	cal,lon	nan	0	0	0	0.107677	nan	0.238552	nan	nan	0.257427	0.327811
b13	lon_isl	nan	0	0.00315786	0.13059	0	nan	0	nan	nan	0	0
b14	OC	nan	0	0	0	0.0275809	0.0505275	nan	0.148786	0.163606	nan	nan
b15	red,yellow	nan	0	0.012421	0	0	0	nan	0	0	nan	nan
b16	cal	nan	0.00475721	0.00582674	0	0	0	0	nan	nan	0	0
b17	lon	nan	0	0	0	0	0.135573	0.0901848	nan	nan	0.0699118	0.0614599
b18	red	nan	0	0	0	0.0145619	0	0.254182	0	0	nan	nan
b19	yellow	nan	0	0.0090161	0	0	0	0	0	0	nan	nan
