-0.503597,-0.637062,-0.719313,-0.58205,-0.566927,-0.554356,-0.679485,-0.509248,-0.627865,-0.546833,-0.632528,-0.63706,-0.574867,-0.482066,-0.665794,-0.520601,-0.672177,-0.599834,-0.556757,-0.535034	-0.119304,-0.0754798,0.0110765,-0.067017,-0.049017,-0.133491,-0.115755,-0.0610922,0.0138205,0.0297932,-0.0932057,-0.12118,-0.101457,-0.144701,0.0392416,-0.0332476,-0.0458342,-0.0377645,0.0183003,0.0030388	-0.408857,-0.58995,-0.724616,-0.535938,-0.532713,-0.454499,-0.611855,-0.462546,-0.636165,-0.567382,-0.57311,-0.559036,-0.502731,-0.362663,-0.687084,-0.495938,-0.646253,-0.575097,-0.569257,-0.537199
-0.521784,-0.693364,-0.775481,-0.597321,-0.631038,-0.602989,-0.732995,-0.567192,-0.661396,-0.601313,-0.686411,-0.695409,-0.639254,-0.541399,-0.7226,-0.606436,-0.711883,-0.659751,-0.620856,-0.573406	-0.0471613,-0.0513932,-0.00832661,-0.0259162,-0.084379,-0.127863,-0.0185076,-0.0325369,0.039056,0.0479884,-0.0720485,-0.0598028,-0.0440285,-0.0476309,0.0212924,-0.0546858,-0.000249635,-0.01073,0.0328806,0.0360442	-0.486597,-0.665693,-0.77214,-0.58039,-0.577404,-0.514819,-0.724313,-0.544708,-0.682814,-0.63109,-0.646327,-0.663187,-0.612464,-0.506838,-0.732621,-0.570675,-0.71176,-0.653648,-0.640658,-0.597109
-0.13085,0.0500351,-0.0119609,0.0300613,0.00911292,-0.0591851,0.0653863,-0.00961186,0.150348,0.0522462,-0.189014,-0.0280167,0.0863984,0.0333953,0.126738,0.0756972,-0.00437964,0.0236899,0.092016,-0.0421502	-0.383959,-0.462023,-0.549345,-0.392327,-0.409378,-0.426499,-0.536164,-0.37744,-0.471976,-0.371693,-0.417256,-0.481875,-0.404019,-0.3931,-0.518737,-0.342443,-0.498803,-0.442531,-0.425434,-0.38727	0.266498,0.500488,0.540939,0.417465,0.416936,0.376826,0.581175,0.369167,0.58109,0.415863,0.247784,0.460069,0.473876,0.420969,0.605657,0.407575,0.495505,0.461384,0.497956,0.350847
-0.555649,-0.69658,-0.788206,-0.62897,-0.653541,-0.63658,-0.762793,-0.615707,-0.681619,-0.643437,-0.674805,-0.719053,-0.666187,-0.585135,-0.73988,-0.636347,-0.758698,-0.677663,-0.64559,-0.619629	-0.0446976,-0.0183671,-0.0175175,-0.0496022,-0.0833559,-0.16403,-0.0412716,-0.0613623,0.0424079,0.00506944,-0.0675532,-0.0896971,-0.0743313,-0.0945855,0.00904474,-0.0788981,-0.0499339,-0.0310635,0.0223537,-0.0269679	-0.523965,-0.687002,-0.781478,-0.598025,-0.603036,-0.527646,-0.744974,-0.576111,-0.703687,-0.646398,-0.636256,-0.672746,-0.622691,-0.51929,-0.743946,-0.586916,-0.736673,-0.660503,-0.658441,-0.602733
-0.4533,-0.63377,-0.75657,-0.516242,-0.564108,-0.547919,-0.677235,-0.493787,-0.599464,-0.580323,-0.658189,-0.561609,-0.513045,-0.504041,-0.642032,-0.488761,-0.698802,-0.627811,-0.584232,-0.468587	-0.0354467,-0.00622152,0.00789245,-0.00819058,-0.0769011,-0.110466,0.0195575,-0.0437957,0.0679788,0.044235,-0.0681127,-0.00963547,-0.0335814,-0.115779,0.0842131,-0.0515359,-0.0194415,-0.0355469,-0.00444921,0.0295265	-0.424677,-0.630033,-0.759925,-0.510209,-0.5093,-0.465637,-0.687684,-0.459938,-0.641309,-0.608927,-0.617772,-0.554976,-0.487869,-0.412323,-0.688993,-0.448523,-0.688717,-0.605783,-0.581294,-0.491316
-0.0726722,0.00853286,0.0857524,0.11496,0.0691978,-0.109596,0.140863,0.0430192,0.183451,0.119216,-0.245966,0.116222,0.0891546,0.0194899,0.152342,0.0555329,0.136108,-0.0115568,0.0815683,0.0116639	0.0559632,0.183962,0.261248,0.110128,0.118918,0.00613749,0.335932,0.0411861,0.238508,0.200418,0.0894031,0.194937,0.133753,0.00891435,0.267898,0.128104,0.293268,0.162251,0.154264,0.116253	-0.128114,-0.175705,-0.179518,0.0048939,-0.050133,-0.115656,-0.204759,0.00183634,-0.057576,-0.0831895,-0.328153,-0.0805394,-0.0451371,0.0105774,-0.120473,-0.0730908,-0.163695,-0.173482,-0.0736225,-0.104731
-0.549452,-0.759741,-0.851096,-0.667337,-0.633775,-0.600537,-0.785642,-0.635074,-0.752936,-0.668062,-0.713577,-0.704386,-0.662714,-0.575284,-0.779644,-0.632076,-0.789156,-0.688986,-0.730512,-0.656932	0.0387835,-0.00731638,-0.00303365,0.016796,0.0449378,0.0454332,0.0131319,0.0321644,0.00152248,0.0943465,0.0233658,0.062273,0.0748168,0.0764647,0.0860702,0.0893132,0.0373807,0.102453,0.0314756,0.0308373	-0.575962,-0.75663,-0.850258,-0.67655,-0.659918,-0.628813,-0.790617,-0.653882,-0.753595,-0.717203,-0.724857,-0.734443,-0.70269,-0.624287,-0.811274,-0.682841,-0.802853,-0.739256,-0.744861,-0.674113
-0.493515,-0.721825,-0.81738,-0.599728,-0.599455,-0.532537,-0.755218,-0.563656,-0.708764,-0.615686,-0.658025,-0.689532,-0.644664,-0.514449,-0.756355,-0.604012,-0.754905,-0.634592,-0.697761,-0.610002	0.0778208,0.0536898,0.00198907,0.0570313,0.08243,0.0911681,0.0482652,0.0747204,0.0586199,0.133311,0.0888385,0.0306994,0.0264508,0.0882996,0.0764213,0.09302,0.0514827,0.136306,0.0419642,0.0874491	-0.550205,-0.746581,-0.818039,-0.635039,-0.649777,-0.594826,-0.775226,-0.612577,-0.736773,-0.692184,-0.705615,-0.705301,-0.659863,-0.576558,-0.78727,-0.659952,-0.77622,-0.709525,-0.718681,-0.66213
-0.064061,-0.176006,-0.170044,-0.0963606,-0.122035,-0.0762296,-0.221218,-0.110344,-0.081679,-0.143359,-0.164965,-0.172395,-0.154423,-0.152841,-0.15975,-0.130079,-0.120663,-0.139266,-0.0887846,-0.0824735	0.061608,0.0251288,0.0410846,0.00876005,0.0157171,0.0524218,0.0354361,0.0589751,0.0692859,0.0209601,0.0226232,0.0783286,0.0809954,0.0821344,0.0391646,0.045356,0.0687656,0.0640501,0.101022,0.0714444	-0.125175,-0.200249,-0.209664,-0.105032,-0.137488,-0.128139,-0.254658,-0.168224,-0.150115,-0.163827,-0.18689,-0.247383,-0.23251,-0.232062,-0.197678,-0.174406,-0.187869,-0.201519,-0.188119,-0.153016
0.160852,0.160148,0.0428892,0.110424,0.100963,0.0967458,0.110986,0.15315,0.180448,0.0781561,0.166289,0.163397,0.0957649,0.1371,0.170212,0.175012,0.0839964,0.16154,0.148074,0.182218	-0.498941,-0.729338,-0.847978,-0.684687,-0.685005,-0.631605,-0.785558,-0.604835,-0.766074,-0.698853,-0.660467,-0.713093,-0.696327,-0.584359,-0.806998,-0.629434,-0.772354,-0.718328,-0.715286,-0.63359	0.610775,0.796458,0.859604,0.739222,0.735127,0.686407,0.824646,0.693725,0.831569,0.736767,0.74494,0.785022,0.742574,0.667946,0.859191,0.724622,0.804179,0.788385,0.780675,0.73137
