scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
LG1,1,100000,45859,4726,2441,27.8275,64.1868,-0.3951,-0.0877,-0.0546
LG1,100001,200000,152738,5533,2598,47.6107,33.4909,0.1741,0.0392,0.0234
LG1,200001,300000,251487,6517,3366,43.6354,98.0313,-0.384,-0.1001,-0.0593
LG1,300001,400000,347053,7176,3850,270.7012,62.9876,0.6225,0.2364,0.1656
LG1,400001,500000,452235,6489,3678,65.5898,27.9909,0.4018,0.0892,0.0433
LG1,500001,600000,545967,5196,2986,103.446,30.1803,0.5483,0.2006,0.1
LG1,600001,700000,652768,5282,3006,63.5326,79.8503,-0.1138,-0.0377,-0.0192
LG1,700001,800000,749022,5587,3023,105.6406,43.2135,0.4194,0.1459,0.0709
LG1,800001,900000,847454,5437,2827,102.3398,25.1107,0.606,0.2428,0.1183
LG1,900001,1000000,959251,4580,2233,125.543,34.569,0.5682,0.2994,0.1396
LG1,1000001,1100000,1050905,5664,3200,156.1491,94.847,0.2442,0.1069,0.0596
LG1,1100001,1200000,1149813,4120,1993,158.7279,40.9466,0.5899,0.4642,0.3006
LG1,1200001,1300000,1254408,5599,2632,100.8164,50.5977,0.3317,0.0911,0.0682
LG1,1300001,1400000,1351304,6095,3234,109.3529,39.9831,0.4645,0.1645,0.0804
LG1,1400001,1500000,1452470,3509,1747,55.8646,25.7708,0.3686,0.1533,0.0588
LG1,1500001,1600000,1542051,5108,2832,108.2266,31.0339,0.5543,0.1652,0.0841
LG1,1600001,1700000,1647341,6416,3730,66.7663,56.8965,0.0798,0.0174,0.0095
LG1,1700001,1800000,1754870,5748,3045,51.0846,52.2513,-0.0113,-0.0027,-0.0016
LG1,1800001,1900000,1845506,7012,3737,74.7461,110.793,-0.1943,-0.0634,-0.0372
LG1,1900001,2000000,1970213,2225,1177,40.9388,38.1315,0.0355,0.0162,0.0077
LG1,2000001,2100000,2049335,7353,4078,87.5378,45.8086,0.3129,0.0803,0.0457
LG1,2100001,2200000,2142535,5649,3007,98.5273,32.8034,0.5004,0.1455,0.077
LG1,2200001,2300000,2246870,5808,3518,52.3789,58.3372,-0.0538,-0.0105,-0.0064
LG1,2300001,2400000,2343462,5116,2759,76.8796,56.4264,0.1534,0.0668,0.0385
LG1,2400001,2500000,2460004,4760,2728,62.5039,17.0352,0.5717,0.1109,0.0633
LG1,2500001,2600000,2549088,7178,4094,130.5423,59.3027,0.3753,0.1458,0.0748
LG1,2600001,2700000,2650618,7145,4000,96.5729,86.0625,0.0575,0.0161,0.0098
LG1,2700001,2800000,2760293,4748,2390,45.3841,38.4883,0.0822,0.0185,0.0112
LG1,2800001,2900000,2854430,6229,3443,135.3574,44.1439,0.5081,0.1805,0.1005
LG1,2900001,3000000,2948285,5778,3398,163.2878,59.3451,0.4669,0.2331,0.1157
LG1,3000001,3100000,3050647,6834,3978,73.4368,52.3587,0.1676,0.0394,0.0215
LG1,3100001,3200000,3153855,6747,3915,92.6504,56.9993,0.2382,0.0685,0.0372
LG1,3200001,3300000,3248304,6982,3871,82.9922,48.8047,0.2594,0.0702,0.0346
LG1,3300001,3400000,3345767,5885,3169,60.8118,18.5514,0.5325,0.0929,0.052
