scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
LG1,1,100000,45859,4726,2355,82.1177,15.0286,0.6906,0.1885,0.1392
LG1,100001,200000,152738,5533,2616,58.4375,19.3672,0.5022,0.154,0.1057
LG1,200001,300000,251487,6517,3372,130.2638,26.2643,0.6644,0.2685,0.1866
LG1,300001,400000,347053,7176,3491,104.3896,14.5135,0.7559,0.1829,0.1341
LG1,400001,500000,452235,6489,3156,57.6919,64.7263,-0.0575,-0.0225,-0.0118
LG1,500001,600000,545967,5196,2565,58.1846,62.4013,-0.035,-0.0172,-0.0118
LG1,600001,700000,652768,5282,2676,44.9698,25.6219,0.2741,0.0512,0.0368
LG1,700001,800000,749022,5587,2530,59.6115,24.7156,0.4138,0.102,0.0822
LG1,800001,900000,847454,5437,2474,38.4263,30.8383,0.1096,0.0355,0.0273
LG1,900001,1000000,959251,4580,1915,120.9021,21.737,0.6952,0.4247,0.2498
LG1,1000001,1100000,1050905,5664,2880,47.2443,22.8104,0.3488,0.085,0.0559
LG1,1100001,1200000,1149813,4120,2011,127.662,50.9589,0.4294,0.4006,0.2349
LG1,1200001,1300000,1254408,5599,2934,60.5961,58.4997,0.0176,0.0067,0.0048
LG1,1300001,1400000,1351304,6095,3104,52.6203,22.963,0.3924,0.0902,0.0676
LG1,1400001,1500000,1452470,3509,1683,51.3036,9.326,0.6924,0.2562,0.1721
LG1,1500001,1600000,1542051,5108,2703,24.5669,22.6268,0.0411,0.0065,0.0052
LG1,1600001,1700000,1647341,6416,3821,56.2008,32.757,0.2635,0.0568,0.0405
LG1,1700001,1800000,1754870,5748,2978,59.8294,82.6154,-0.16,-0.0699,-0.0434
LG1,1800001,1900000,1845506,7012,3448,51.0362,57.3154,-0.058,-0.0126,-0.0089
LG1,1900001,2000000,1970213,2225,1198,58.7203,30.1339,0.3217,0.1997,0.1206
LG1,2000001,2100000,2049335,7353,4073,167.9563,91.4906,0.2947,0.174,0.0963
LG1,2100001,2200000,2142535,5649,2934,114.3898,33.993,0.5418,0.2542,0.1585
LG1,2200001,2300000,2246870,5808,2913,39.3589,30.9208,0.1201,0.0246,0.019
LG1,2300001,2400000,2343462,5116,2504,56.9086,46.7966,0.0975,0.0522,0.0304
LG1,2400001,2500000,2460004,4760,2559,51.3422,13.7656,0.5771,0.1126,0.0834
LG1,2500001,2600000,2549088,7178,3850,54.7482,30.1732,0.2894,0.0709,0.0521
LG1,2600001,2700000,2650618,7145,3936,49.3185,67.843,-0.1581,-0.0373,-0.0266
LG1,2700001,2800000,2760293,4748,2391,40.9354,32.038,0.1219,0.032,0.0225
LG1,2800001,2900000,2854430,6229,3165,88.3479,24.3651,0.5677,0.1608,0.1159
LG1,2900001,3000000,2948285,5778,3225,50.5036,107.9391,-0.3625,-0.1997,-0.107
LG1,3000001,3100000,3050647,6834,3954,44.9878,21.0763,0.3619,0.0654,0.0482
LG1,3100001,3200000,3153855,6747,3929,43.5164,20.0227,0.3698,0.0628,0.0523
LG1,3200001,3300000,3248304,6982,3802,60.4974,50.5026,0.09,0.0268,0.0188
LG1,3300001,3400000,3345767,5885,3026,21.2615,12.2438,0.2691,0.0285,0.0227
LG1,3400001,3500000,3452604,4493,2461,14.0344,13.3974,0.0232,0.0016,0.0013
LG1,3500001,3600000,3549079,7226,3663,41.4375,43.725,-0.0269,-0.0041,-0.0029
LG1,3600001,3700000,3648994,5886,2870,21.9372,15.0096,0.1875,0.0155,0.0133
LG1,3700001,3800000,3752511,8041,4365,109.7036,63.0115,0.2703,0.0848,0.0602
LG1,3800001,3900000,3848580,7495,3588,63.5109,28.376,0.3824,0.0675,0.0515
LG1,3900001,4000000,3948917,7282,3675,53.7393,58.2451,-0.0402,-0.0071,-0.0055
LG1,4000001,4100000,4048355,7057,3782,82.9768,47.6008,0.2709,0.0586,0.0458
LG1,4100001,4200000,4159511,5238,2973,15.0852,12.2878,0.1022,0.006,0.0052
LG1,4200001,4300000,4251452,7505,4136,45.3878,47.4154,-0.0218,-0.0034,-0.0027
LG1,4300001,4400000,4357686,6175,3167,63.6299,68.8445,-0.0394,-0.0132,-0.0084
LG1,4400001,4500000,4451545,7026,4107,71.9831,260.9815,-0.5676,-0.3322,-0.1988
LG1,4500001,4600000,4548602,7278,3842,43.4,35.7401,0.0968,0.0158,0.0127
LG1,4600001,4700000,4649520,8185,4407,86.0536,135.1417,-0.2219,-0.0596,-0.0434
LG1,4700001,4800000,4741353,6517,3254,102.9042,54.5495,0.3071,0.0877,0.0635
LG1,4800001,4900000,4859361,5183,2913,46.8471,121.8294,-0.4445,-0.1274,-0.0897
LG1,4900001,5000000,4943351,4419,1997,39.832,31.8857,0.1108,0.0307,0.0242
LG1,5000001,5100000,5050336,8144,3890,110.0245,53.2865,0.3474,0.1126,0.0873
LG1,5100001,5200000,5145408,6822,3485,95.7333,86.0073,0.0535,0.0238,0.017
LG1,5200001,5300000,5263455,5213,2819,59.2914,48.4591,0.1005,0.0665,0.0433
LG1,5300001,5400000,5349400,5680,3102,124.3828,78.3484,0.2271,0.2121,0.1305
LG1,5400001,5500000,5443686,6894,3435,73.0203,81.0484,-0.0521,-0.0221,-0.0165
LG1,5500001,5600000,5548683,7972,3874,89.7896,41.6828,0.3659,0.1097,0.0776
LG1,5600001,5700000,5652395,7118,3880,284.5177,53.4516,0.6837,0.5768,0.3668
LG1,5700001,5800000,5750920,6038,2754,100.1495,47.6214,0.3555,0.1712,0.1196
LG1,5800001,5900000,5844022,6088,2634,103.6036,42.8224,0.4151,0.191,0.1429
LG1,5900001,6000000,5948488,5236,2272,149.2302,74.9828,0.3311,0.2781,0.1993
LG1,6000001,6100000,6043896,4471,1992,87.9427,67.1307,0.1342,0.1268,0.0701
LG1,6100001,6200000,6151324,3698,1885,97.1482,58.4982,0.2483,0.2163,0.1552
LG1,6200001,6300000,6272588,2215,887,33.8711,12.7232,0.4539,0.317,0.2137
LG1,6300001,6400000,6347929,5722,2803,128.5557,46.7208,0.4669,0.3231,0.2187
LG1,6400001,6500000,6433894,4638,2439,49.0174,36.1362,0.1513,0.1026,0.0632
LG1,6500001,6600000,6547867,4795,2255,85.0284,106.9049,-0.114,-0.1464,-0.0672
LG1,6600001,6700000,6651711,8014,3723,108.3315,61.619,0.2749,0.1126,0.0847
LG1,6700001,6800000,6758019,6948,3683,120.9346,65.8383,0.295,0.2036,0.1396
LG1,6800001,6900000,6848964,7836,4492,122.0906,102.1443,0.089,0.0624,0.0446
LG1,6900001,7000000,6950230,4236,2447,73.7057,52.3276,0.1696,0.1148,0.0831
LG1,7000001,7100000,7056190,6781,3062,82.1279,35.3055,0.3987,0.1324,0.0985
LG1,7100001,7200000,7148076,6508,3029,81.5648,77.9732,0.0225,0.0158,0.0088
LG1,7200001,7300000,7256341,3926,1766,76.0995,47.624,0.2302,0.1506,0.1059
LG1,7300001,7400000,7351539,6956,4099,98.394,78.5654,0.1121,0.0689,0.0475
LG1,7400001,7500000,7455752,8171,3837,108.1552,87.1781,0.1074,0.0565,0.0342
LG1,7500001,7600000,7538111,5018,2051,61.9401,25.7563,0.4126,0.155,0.0935
LG1,7600001,7700000,7665305,6821,2866,91.9294,29.2122,0.5177,0.2619,0.188
LG1,7700001,7800000,7742571,7571,3123,175.9891,43.3401,0.6048,0.5019,0.3362
LG1,7800001,7900000,7851765,5275,2654,105.8326,33.6883,0.5171,0.3626,0.2268
LG1,7900001,8000000,7951533,9939,5198,333.6268,67.3424,0.6641,0.4822,0.3366
LG1,8000001,8100000,8053502,7323,3113,154.2148,16.1638,0.8103,0.1987,0.1751
LG1,8100001,8200000,8143066,4052,1487,27.6604,16.2635,0.2595,0.057,0.0387
LG1,8200001,8300000,8246057,5103,2310,45.4958,19.0516,0.4097,0.0936,0.0611
LG1,8300001,8400000,8349203,5570,2578,171.0784,28.3138,0.716,0.5972,0.387
LG1,8400001,8500000,8453798,6896,3002,232.3346,42.6174,0.69,0.429,0.3145
LG1,8500001,8600000,8545700,4039,2187,103.7414,32.7164,0.5205,0.3682,0.2511
