scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
LG1,1,100000,45859,4726,2694,26.6451,72.7582,-0.4639,-0.1321,-0.0766
LG1,100001,200000,152738,5533,2913,42.2161,30.737,0.1573,0.0333,0.0195
LG1,200001,300000,251487,6517,3565,74.8404,68.9981,0.0406,0.0116,0.0067
LG1,300001,400000,347053,7176,3951,235.9728,70.5562,0.5396,0.2037,0.1389
LG1,400001,500000,452235,6489,3589,73.0045,45.689,0.2301,0.0683,0.032
LG1,500001,600000,545967,5196,2693,119.4821,28.9196,0.6103,0.2293,0.119
LG1,600001,700000,652768,5282,2833,78.4077,67.5179,0.0746,0.0223,0.0121
LG1,700001,800000,749022,5587,2750,146.5402,39.683,0.5738,0.2586,0.1244
LG1,800001,900000,847454,5437,2884,114.1328,25.0286,0.6403,0.3129,0.1435
LG1,900001,1000000,959251,4580,2395,138.2329,46.3043,0.4982,0.3124,0.1414
LG1,1000001,1100000,1050905,5664,3300,164.782,83.6719,0.3265,0.1375,0.0779
LG1,1100001,1200000,1149813,4120,2106,133.2173,51.7827,0.4402,0.4209,0.2445
LG1,1200001,1300000,1254408,5599,2950,93.683,58.2574,0.2332,0.0792,0.0554
LG1,1300001,1400000,1351304,6095,3592,105.9717,37.311,0.4792,0.1709,0.0813
LG1,1400001,1500000,1452470,3509,1889,57.4267,40.5844,0.1718,0.117,0.036
LG1,1500001,1600000,1542051,5108,3056,103.0286,46.6328,0.3768,0.1279,0.0625
LG1,1600001,1700000,1647341,6416,4026,79.8631,59.8393,0.1433,0.037,0.0197
LG1,1700001,1800000,1754870,5748,3331,69.0391,51.9528,0.1412,0.0485,0.0262
LG1,1800001,1900000,1845506,7012,4045,66.8557,106.2426,-0.2275,-0.071,-0.0413
LG1,1900001,2000000,1970213,2225,1293,34.0141,53.9338,-0.2265,-0.1174,-0.0543
LG1,2000001,2100000,2049335,7353,4523,85.9676,52.1908,0.2445,0.0655,0.0371
LG1,2100001,2200000,2142535,5649,3332,93.933,39.9033,0.4037,0.1222,0.0638
LG1,2200001,2300000,2246870,5808,3689,69.6112,55.7928,0.1102,0.0326,0.0176
LG1,2300001,2400000,2343462,5116,2934,78.1153,55.8296,0.1664,0.075,0.0427
LG1,2400001,2500000,2460004,4760,2910,64.782,18.1213,0.5628,0.1157,0.0655
LG1,2500001,2600000,2549088,7178,4370,117.9505,61.8374,0.3121,0.1178,0.0595
LG1,2600001,2700000,2650618,7145,4330,99.9453,83.3233,0.0907,0.0282,0.0164
LG1,2700001,2800000,2760293,4748,2655,65.4122,37.8378,0.2671,0.0865,0.0485
LG1,2800001,2900000,2854430,6229,3709,128.0551,40.6949,0.5177,0.1841,0.0994
LG1,2900001,3000000,2948285,5778,3631,161.6719,45.4278,0.5613,0.2985,0.1365
LG1,3000001,3100000,3050647,6834,4285,70.9758,52.7377,0.1474,0.0374,0.0195
LG1,3100001,3200000,3153855,6747,4252,83.471,61.8043,0.1491,0.0437,0.0233
LG1,3200001,3300000,3248304,6982,4020,85.5097,49.5573,0.2662,0.0751,0.0367
