scaffold	start	end	mid	sites	sitesUsed	ABBA	BABA	D	fd	fdM	gene_count_per_window	cM/Mb	Fst_aridus_longiflorus	Fst_aridus_longiflorus_island	Fst_aridus_parviflorus	Fst_aridus_calycinus	Fst_longiflorus_longiflorus_island	Fst_longiflorus_parviflorus	Fst_longiflorus_calycinus	Fst_longiflorus_island_parviflorus	Fst_longiflorus_island_calycinus	Fst_parviflorus_calycinus	average_dxy_ari_par	average_dxy_lon_isl_lon	average_dxy_par_isl_lon
LG1	1	100000	45859	4726	2503	62.1283	61.3053	0.0067	0.0025	0.0014	16	NA	0.3668	0.3202	0.4225	0.3605	0.0603	0.4822	0.033	0.3984	0.0894	0.4395	0.009974172176611	0.005743733211143	0.009245918049422
LG1	100001	200000	152738	5533	2760	64.8184	26.9017	0.4134	0.1256	0.0691	17	0.843904871	0.4978	0.3959	0.4525	0.4956	0.074	0.4771	0.1163	0.3721	0.1441	0.4191	0.00862113896835	0.006387620894369	0.009435129155578
LG1	200001	300000	251487	6517	3447	128.724	53.9505	0.4093	0.1744	0.0921	13	1.009276757	0.496	0.3572	0.4419	0.5422	0.0737	0.448	0.0613	0.2902	0.0964	0.4392	0.014008353191038	0.007398734704425	0.012056872660679
LG1	300001	400000	347053	7176	3683	318.1637	62.2939	0.6725	0.3257	0.2201	10	0.011893435	0.5393	0.4944	0.4814	0.647	0.073	0.5166	0.0487	0.4257	0.0781	0.5448	0.013495673339728	0.009395701369588	0.015630660616445
LG1	400001	500000	452235	6489	3308	101.4222	28.3154	0.5635	0.1783	0.0855	15	8.414282012	0.4201	0.4476	0.5614	0.496	0.0682	0.3488	0.0149	0.3444	0.0794	0.3633	0.011757038812585	0.008282982133895	0.009851821420287
LG1	500001	600000	545967	5196	2677	129.2441	29.2077	0.6313	0.2766	0.1368	18	0.027593819	0.5464	0.4464	0.6372	0.5556	0.0663	0.4299	0.0894	0.3291	0.0768	0.3835	0.01140931612216	0.007644532600849	0.009195249142676
LG1	600001	700000	652768	5282	2786	86.8984	55.2682	0.2225	0.0611	0.0341	15	0	0.5915	0.621	0.5978	0.6813	0.0522	0.5028	0.119	0.5283	0.1417	0.5006	0.009938418941422	0.004774230297413	0.010058188730943
LG1	700001	800000	749022	5587	2488	147.4421	41.1243	0.5638	0.2231	0.1158	12	0	0.5994	0.7341	0.6551	0.6308	0.124	0.4054	0.0708	0.5385	0.2066	0.3921	0.011593550626249	0.00477610639806	0.008217514428182
LG1	800001	900000	847454	5437	2583	135.391	26.3519	0.6742	0.3276	0.1634	11	0.783855904	0.472	0.5726	0.3226	0.467	0.1448	0.2228	0.0865	0.2665	0.1554	0.1639	0.011230197653625	0.006083887957522	0.008235963745614
LG1	900001	1000000	959251	4580	2261	154.8281	32.625	0.6519	0.4187	0.1903	11	0	0.3396	0.3677	0.4016	0.3642	0.0893	0.1785	0.027	0.1841	0.0818	0.1504	0.018690690412367	0.01089210223661	0.012034357520566
LG1	1000001	1100000	1050905	5664	3156	176.7311	82.8587	0.3616	0.1663	0.0921	19	3.326353733	0.5803	0.5144	0.3614	0.5805	0.0587	0.3487	0.0172	0.3135	0.0726	0.3026	0.013321178977355	0.005567138489628	0.011225169407333
LG1	1100001	1200000	1149813	4120	1917	168.9268	40.1742	0.6157	0.5178	0.3365	8		0.1631	0.2993	0.2539	0.1379	0.0634	0.0873	0.0214	0.1325	0.1327	0.1332	0.010277267437021	0.008064494272785	0.008126566329485
LG1	1200001	1300000	1254408	5599	2766	93.6211	52.1888	0.2842	0.079	0.0582	19	0.557541762	0.3974	0.4805	0.2383	0.4263	0.0967	0.3389	0.0798	0.4167	0.1991	0.3412	0.009342008750835	0.006532687823584	0.013146190090252
LG1	1300001	1400000	1351304	6095	3284	116.5915	27.8285	0.6146	0.2001	0.1007	15	3.034215623	0.514	0.6039	0.5806	0.5495	0.1576	0.3905	0.0223	0.4574	0.1858	0.3973	0.010341412304241	0.005222068683185	0.007105043296036
LG1	1400001	1500000	1452470	3509	1772	75.0612	23.2669	0.5267	0.2948	0.1053	12		0.4451	0.5863	0.5821	0.5339	0.1139	0.242	0.0113	0.31	0.119	0.2356	0.010562681718564	0.005997545806779	0.006469872992131
LG1	1500001	1600000	1542051	5108	2852	117.958	32.3825	0.5692	0.1766	0.0915	13	0	0.6201	0.73	0.6264	0.6495	0.1433	0.4803	0.0289	0.5626	0.1422	0.4346	0.012029018466161	0.004804727694176	0.009634803132834
LG1	1600001	1700000	1647341	6416	3690	84.3639	66.8457	0.1159	0.0328	0.0173	15	0	0.6063	0.5831	0.4537	0.6829	0.105	0.4344	0.0246	0.4315	0.1797	0.4332	0.010851714514255	0.005183665462329	0.011136865602891
LG1	1700001	1800000	1754870	5748	2955	75.3486	56.1585	0.1459	0.0515	0.0285	12	5.073010991	0.3711	0.3621	0.3633	0.5416	0.0701	0.3003	0.0345	0.3112	0.1506	0.3649	0.012612241453924	0.009127042834406	0.012706666793278
LG1	1800001	1900000	1845506	7012	3689	78.9837	90.5801	-0.0684	-0.0205	-0.0121	14	0	0.3655	0.3989	0.49	0.3937	0.0889	0.4775	0.0326	0.4933	0.0868	0.4613	0.014044507964984	0.007899279221278	0.013510525280248
LG1	1900001	2000000	1970213	2225	1284	59.0306	37.7103	0.2204	0.1309	0.06	7		0.3119	0.3177	0.3621	0.3304	0.0918	0.3096	0.0517	0.2385	0.1634	0.3078	0.01926286264518	0.01454742770246	0.017293415666412
