scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
LG1,1,100000,45859,4726,2526,24.1318,66.6901,-0.4686,-0.1167,-0.0689
LG1,100001,200000,152738,5533,2730,43.6328,30.4911,0.1773,0.0388,0.0225
LG1,200001,300000,251487,6517,3488,73.1568,61.5234,0.0864,0.024,0.0135
LG1,300001,400000,347053,7176,3664,273.3313,64.3896,0.6187,0.2369,0.166
LG1,400001,500000,452235,6489,3203,95.0187,52.4187,0.2889,0.0884,0.0457
LG1,500001,600000,545967,5196,2597,117.6349,27.4141,0.622,0.2319,0.1194
LG1,600001,700000,652768,5282,2749,69.5948,74.349,-0.033,-0.0099,-0.0053
LG1,700001,800000,749022,5587,2701,125.2568,45.2526,0.4692,0.1957,0.0933
LG1,800001,900000,847454,5437,2748,132.799,28.8531,0.643,0.3653,0.1673
LG1,900001,1000000,959251,4580,2232,93.3651,49.6859,0.3053,0.1457,0.0666
LG1,1000001,1100000,1050905,5664,3258,154.1818,87.7943,0.2744,0.1132,0.0639
LG1,1100001,1200000,1149813,4120,1921,99.962,52.1203,0.3146,0.2325,0.1378
LG1,1200001,1300000,1254408,5599,2799,100.0516,49.1141,0.3415,0.1122,0.0787
LG1,1300001,1400000,1351304,6095,3309,103.3849,37.3849,0.4689,0.1596,0.077
LG1,1400001,1500000,1452470,3509,1789,47.1656,26.7906,0.2755,0.1225,0.0422
LG1,1500001,1600000,1542051,5108,2937,98.0859,43.6526,0.384,0.1286,0.0616
LG1,1600001,1700000,1647341,6416,3953,70.9755,64.3214,0.0492,0.0144,0.0071
LG1,1700001,1800000,1754870,5748,2977,85.4656,67.324,0.1187,0.0507,0.0274
LG1,1800001,1900000,1845506,7012,3625,92.1458,77.1125,0.0888,0.0258,0.0154
LG1,1900001,2000000,1970213,2225,1162,36.4302,43.7427,-0.0912,-0.0353,-0.0185
LG1,2000001,2100000,2049335,7353,4068,101.8474,34.6057,0.4928,0.1197,0.071
LG1,2100001,2200000,2142535,5649,2979,101.1776,35.7859,0.4774,0.1451,0.0768
LG1,2200001,2300000,2246870,5808,3125,79.5526,51.2068,0.2168,0.0613,0.0346
LG1,2300001,2400000,2343462,5116,2756,86.4661,51.912,0.2497,0.115,0.066
LG1,2400001,2500000,2460004,4760,2771,65.8672,16.4964,0.5994,0.1198,0.0686
LG1,2500001,2600000,2549088,7178,4065,117.8167,62.9708,0.3034,0.1094,0.0566
LG1,2600001,2700000,2650618,7145,4057,92.2828,89.9078,0.013,0.004,0.0023
LG1,2700001,2800000,2760293,4748,2474,49.5641,42.9599,0.0714,0.0205,0.0115
LG1,2800001,2900000,2854430,6229,3404,128.5885,42.8469,0.5001,0.174,0.0957
LG1,2900001,3000000,2948285,5778,3492,173.0729,42.2271,0.6077,0.3193,0.1504
LG1,3000001,3100000,3050647,6834,4071,69.9276,51.3859,0.1528,0.0391,0.0201
LG1,3100001,3200000,3153855,6747,4025,83.8531,60.5198,0.1616,0.0456,0.0247
LG1,3200001,3300000,3248304,6982,3810,81.1068,94.1151,-0.0742,-0.0285,-0.0135
LG1,3300001,3400000,3345767,5885,3252,58.6307,20.9432,0.4736,0.0854,0.047
LG1,3400001,3500000,3452604,4493,2465,34.5667,36.1,-0.0217,-0.0043,-0.0025
LG1,3500001,3600000,3549079,7226,3894,111.2453,86.1578,0.1271,0.0372,0.0209
LG1,3600001,3700000,3648994,5886,3128,31.6531,64.5281,-0.3418,-0.0668,-0.0395
LG1,3700001,3800000,3752511,8041,4759,183.4208,88.0833,0.3511,0.1413,0.0743
LG1,3800001,3900000,3848580,7495,3924,97.4432,51.0099,0.3128,0.0782,0.0473
LG1,3900001,4000000,3948917,7282,3947,57.8875,100.0,-0.2667,-0.071,-0.0387
LG1,4000001,4100000,4048355,7057,3948,120.651,91.7552,0.136,0.0464,0.0249
LG1,4100001,4200000,4159511,5238,3307,77.9818,28.4484,0.4654,0.0888,0.0603
LG1,4200001,4300000,4251452,7505,4334,75.25,74.2667,0.0066,0.0016,0.001
LG1,4300001,4400000,4357686,6175,3404,58.0156,98.5823,-0.259,-0.1418,-0.0721
LG1,4400001,4500000,4451545,7026,3764,112.2807,59.4266,0.3078,0.1137,0.0661
LG1,4500001,4600000,4548602,7278,3991,93.0583,71.725,0.1295,0.0378,0.0216
LG1,4600001,4700000,4649520,8185,4513,85.4891,55.8932,0.2093,0.0516,0.0297
LG1,4700001,4800000,4741353,6517,3671,122.6807,134.8974,-0.0474,-0.0177,-0.0088
LG1,4800001,4900000,4859361,5183,2863,43.2396,82.7104,-0.3134,-0.0684,-0.0444
