scaffold	start	end	mid	sites	sitesUsed	ABBA	BABA	D	fd	fdM	gene_count_per_window	cM/Mb	Fst_aridus_longiflorus	Fst_aridus_longiflorus_island	Fst_aridus_parviflorus	Fst_aridus_calycinus	Fst_longiflorus_longiflorus_island	Fst_longiflorus_parviflorus	Fst_longiflorus_calycinus	Fst_longiflorus_island_parviflorus	Fst_longiflorus_island_calycinus	Fst_parviflorus_calycinus	average_dxy_ari_par	average_dxy_lon_isl_lon	average_dxy_par_isl_lon
LG1	1	100000	45859	4726	2535	66.3756	15.9942	0.6116	0.1608	0.1303	16	NA	0.3668	0.3202	0.4225	0.3605	0.0603	0.4822	0.033	0.3984	0.0894	0.4395	0.009974172176611	0.005743733211143	0.009245918049422
LG1	100001	200000	152738	5533	2809	54.8536	23.8369	0.3942	0.129	0.0917	17	0.843904871	0.4978	0.3959	0.4525	0.4956	0.074	0.4771	0.1163	0.3721	0.1441	0.4191	0.00862113896835	0.006387620894369	0.009435129155578
LG1	200001	300000	251487	6517	3314	87.4362	32.5296	0.4577	0.1802	0.1227	13	1.009276757	0.496	0.3572	0.4419	0.5422	0.0737	0.448	0.0613	0.2902	0.0964	0.4392	0.014008353191038	0.007398734704425	0.012056872660679
LG1	300001	400000	347053	7176	3609	142.308	21.5379	0.7371	0.2371	0.1865	10	0.011893435	0.5393	0.4944	0.4814	0.647	0.073	0.5166	0.0487	0.4257	0.0781	0.5448	0.013495673339728	0.009395701369588	0.015630660616445
LG1	400001	500000	452235	6489	3402	64.6447	36.6648	0.2762	0.0983	0.0744	15	8.414282012	0.4201	0.4476	0.5614	0.496	0.0682	0.3488	0.0149	0.3444	0.0794	0.3633	0.011757038812585	0.008282982133895	0.009851821420287
LG1	500001	600000	545967	5196	2578	72.5028	45.5266	0.2286	0.1069	0.0784	18	0.027593819	0.5464	0.4464	0.6372	0.5556	0.0663	0.4299	0.0894	0.3291	0.0768	0.3835	0.01140931612216	0.007644532600849	0.009195249142676
LG1	600001	700000	652768	5282	2686	30.9993	24.6853	0.1134	0.0207	0.0177	15	0	0.5915	0.621	0.5978	0.6813	0.0522	0.5028	0.119	0.5283	0.1417	0.5006	0.009938418941422	0.004774230297413	0.010058188730943
LG1	700001	800000	749022	5587	2473	18.8199	20.1384	-0.0338	-0.0048	-0.0042	12	0	0.5994	0.7341	0.6551	0.6308	0.124	0.4054	0.0708	0.5385	0.2066	0.3921	0.011593550626249	0.00477610639806	0.008217514428182
LG1	800001	900000	847454	5437	2590	52.5898	15.2911	0.5495	0.156	0.1289	11	0.783855904	0.472	0.5726	0.3226	0.467	0.1448	0.2228	0.0865	0.2665	0.1554	0.1639	0.011230197653625	0.006083887957522	0.008235963745614
LG1	900001	1000000	959251	4580	1977	70.2072	48.3445	0.1844	0.1345	0.0863	11	0	0.3396	0.3677	0.4016	0.3642	0.0893	0.1785	0.027	0.1841	0.0818	0.1504	0.018690690412367	0.01089210223661	0.012034357520566
LG1	1000001	1100000	1050905	5664	2960	43.0895	25.9544	0.2482	0.0659	0.0494	19	3.326353733	0.5803	0.5144	0.3614	0.5805	0.0587	0.3487	0.0172	0.3135	0.0726	0.3026	0.013321178977355	0.005567138489628	0.011225169407333
LG1	1100001	1200000	1149813	4120	2079	92.3211	48.4929	0.3112	0.2931	0.233	8		0.1631	0.2993	0.2539	0.1379	0.0634	0.0873	0.0214	0.1325	0.1327	0.1332	0.010277267437021	0.008064494272785	0.008126566329485
LG1	1200001	1300000	1254408	5599	3012	51.2591	58.2669	-0.064	-0.0261	-0.0209	19	0.557541762	0.3974	0.4805	0.2383	0.4263	0.0967	0.3389	0.0798	0.4167	0.1991	0.3412	0.009342008750835	0.006532687823584	0.013146190090252
LG1	1300001	1400000	1351304	6095	3297	43.6823	20.994	0.3508	0.074	0.06	15	3.034215623	0.514	0.6039	0.5806	0.5495	0.1576	0.3905	0.0223	0.4574	0.1858	0.3973	0.010341412304241	0.005222068683185	0.007105043296036
LG1	1400001	1500000	1452470	3509	1755	35.9689	14.4009	0.4282	0.1691	0.1297	12		0.4451	0.5863	0.5821	0.5339	0.1139	0.242	0.0113	0.31	0.119	0.2356	0.010562681718564	0.005997545806779	0.006469872992131
LG1	1500001	1600000	1542051	5108	2809	32.9574	13.7286	0.4119	0.0678	0.0581	13	0	0.6201	0.73	0.6264	0.6495	0.1433	0.4803	0.0289	0.5626	0.1422	0.4346	0.012029018466161	0.004804727694176	0.009634803132834
LG1	1600001	1700000	1647341	6416	3868	45.3637	24.1003	0.3061	0.0571	0.0451	15	0	0.6063	0.5831	0.4537	0.6829	0.105	0.4344	0.0246	0.4315	0.1797	0.4332	0.010851714514255	0.005183665462329	0.011136865602891
LG1	1700001	1800000	1754870	5748	3209	59.5798	51.389	0.0738	0.0279	0.0215	12	5.073010991	0.3711	0.3621	0.3633	0.5416	0.0701	0.3003	0.0345	0.3112	0.1506	0.3649	0.012612241453924	0.009127042834406	0.012706666793278
LG1	1800001	1900000	1845506	7012	3683	42.7783	30.3438	0.1701	0.0265	0.0218	14	0	0.3655	0.3989	0.49	0.3937	0.0889	0.4775	0.0326	0.4933	0.0868	0.4613	0.014044507964984	0.007899279221278	0.013510525280248
LG1	1900001	2000000	1970213	2225	1272	53.7044	27.0995	0.3293	0.2069	0.1349	7		0.3119	0.3177	0.3621	0.3304	0.0918	0.3096	0.0517	0.2385	0.1634	0.3078	0.01926286264518	0.01454742770246	0.017293415666412
LG1	2000001	2100000	2049335	7353	4370	162.7885	48.4693	0.5411	0.2834	0.2008	15	2.827492856	0.409	0.3571	0.4799	0.4941	0.1239	0.3849	0.0394	0.2724	0.1424	0.4142	0.011002094229982	0.009836726811783	0.009717786874637
LG1	2100001	2200000	2142535	5649	3197	112.7606	22.7405	0.6643	0.3055	0.2066	11	0.113597637	0.5152	0.4517	0.6071	0.5687	0.1696	0.4392	0.0041	0.2683	0.1803	0.4376	0.0116886044472	0.008213165025167	0.007578225288317
LG1	2200001	2300000	2246870	5808	3443	61.6289	28.4343	0.3686	0.0872	0.0694	13		0.4465	0.5637	0.498	0.4447	0.2038	0.4276	-0.0051	0.5053	0.1623	0.3846	0.011037179595272	0.006695267247508	0.00954291492139
LG1	2300001	2400000	2343462	5116	2670	71.5346	31.4702	0.389	0.1898	0.1232	14	0	0.3214	0.263	0.3341	0.3175	0.1676	0.356	0.0501	0.2512	0.147	0.3302	0.010948004387517	0.007513679470158	0.008161837051194
LG1	2400001	2500000	2460004	4760	2720	43.364	15.2714	0.4791	0.0891	0.0702	16	2.72520561	0.5596	0.6276	0.5557	0.5982	0.2357	0.4845	0.0538	0.5353	0.2322	0.4749	0.010443154431287	0.005907057574854	0.009245760533401
LG1	2500001	2600000	2549088	7178	4078	55.683	28.8378	0.3176	0.0787	0.0625	18	0.009924967	0.5095	0.5122	0.4515	0.5677	0.1139	0.3942	0.0174	0.3853	0.149	0.4019	0.011311521705587	0.005456265799789	0.009141103638572
LG1	2600001	2700000	2650618	7145	4124	52.091	58.075	-0.0543	-0.0126	-0.01	14	2.129768614	0.479	0.5061	0.5447	0.5456	0.1029	0.4811	0.0195	0.5087	0.0774	0.4897	0.012811798003623	0.007237730060709	0.013359817834694
LG1	2700001	2800000	2760293	4748	2471	38.2762	52.6598	-0.1582	-0.0574	-0.0426	8	6.5811967	0.4119	0.4653	0.3997	0.4896	0.1002	0.3406	0.0331	0.4025	0.166	0.3565	0.012914398199877	0.009621175686203	0.01493895240746
LG1	2800001	2900000	2854430	6229	3353	80.8242	26.1349	0.5113	0.1503	0.1235	10	1.94645634	0.5301	0.5296	0.5196	0.5679	0.1589	0.4267	0.0734	0.3989	0.1833	0.4117	0.01309047691436	0.006555763299403	0.009900161901732
LG1	2900001	3000000	2948285	5778	3274	65.2699	87.3785	-0.1448	-0.0874	-0.0618	13		0.4489	0.4296	0.4811	0.4031	0.0939	0.2747	0.0452	0.3064	0.0911	0.2593	0.013518525690487	0.007145781832415	0.009229555768048
LG1	3000001	3100000	3050647	6834	4015	44.4459	22.8856	0.3202	0.0608	0.0485	16	0	0.5967	0.552	0.4826	0.6063	0.1042	0.4572	0.0543	0.4298	0.0939	0.4191	0.010376007116813	0.004726851858022	0.009437074618233
LG1	3100001	3200000	3153855	6747	4061	46.6814	23.4418	0.3314	0.0613	0.0511	14	0.403272514	0.5253	0.5217	0.4742	0.5392	0.0777	0.4292	0.0489	0.431	0.1274	0.3884	0.011196537322906	0.005153376973162	0.010345538882426
LG1	3200001	3300000	3248304	6982	3807	53.6198	41.6667	0.1254	0.0357	0.026	16	3.800969065	0.6111	0.5384	0.5017	0.527	0.164	0.426	0.0963	0.3848	0.1192	0.3179	0.011811467476501	0.006153302790543	0.009882268079307
