scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
LG1,1,100000,45859,4726,2327,83.6923,15.1289,0.6938,0.1913,0.1378
LG1,100001,200000,152738,5533,2622,56.5938,20.0686,0.4764,0.1473,0.0959
LG1,200001,300000,251487,6517,3268,126.1259,29.4861,0.621,0.2597,0.1749
LG1,300001,400000,347053,7176,3479,108.2335,11.3082,0.8108,0.1969,0.1388
LG1,400001,500000,452235,6489,3250,62.753,58.0048,0.0393,0.0149,0.0081
LG1,500001,600000,545967,5196,2555,47.7263,70.0701,-0.1897,-0.0984,-0.057
LG1,600001,700000,652768,5282,2741,40.7116,25.3678,0.2322,0.0413,0.0326
LG1,700001,800000,749022,5587,2569,29.7971,28.311,0.0256,0.0048,0.0039
LG1,800001,900000,847454,5437,2505,45.2828,22.2663,0.3407,0.0983,0.0767
LG1,900001,1000000,959251,4580,1922,104.2378,37.3672,0.4722,0.3233,0.1964
LG1,1000001,1100000,1050905,5664,2903,48.0215,22.1682,0.3683,0.09,0.0628
LG1,1100001,1200000,1149813,4120,1968,125.5679,44.1981,0.4793,0.4087,0.3002
LG1,1200001,1300000,1254408,5599,2982,95.5519,58.1916,0.243,0.1062,0.0822
LG1,1300001,1400000,1351304,6095,3147,58.7741,20.1369,0.4896,0.1155,0.0846
LG1,1400001,1500000,1452470,3509,1682,44.0545,10.4477,0.6166,0.2193,0.1501
LG1,1500001,1600000,1542051,5108,2721,24.7769,29.8507,-0.0929,-0.0172,-0.0135
LG1,1600001,1700000,1647341,6416,3733,45.913,46.663,-0.0081,-0.002,-0.0014
LG1,1700001,1800000,1754870,5748,2993,62.6237,67.6576,-0.0386,-0.0156,-0.0107
LG1,1800001,1900000,1845506,7012,3616,44.9325,55.3943,-0.1043,-0.0217,-0.0161
LG1,1900001,2000000,1970213,2225,1243,56.3576,34.8142,0.2363,0.1623,0.0927
LG1,2000001,2100000,2049335,7353,4152,164.9349,81.9852,0.3359,0.19,0.1111
