scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
LG1,1,100000,45859,4726,2371,76.3851,16.7731,0.6399,0.1721,0.118
LG1,100001,200000,152738,5533,2587,52.4004,44.5645,0.0808,0.0312,0.0183
LG1,200001,300000,251487,6517,3262,130.0589,33.3896,0.5914,0.2518,0.1513
LG1,300001,400000,347053,7176,3659,124.1185,23.681,0.6796,0.1989,0.1479
LG1,400001,500000,452235,6489,3560,115.2516,30.8766,0.5774,0.2299,0.1728
LG1,500001,600000,545967,5196,2959,132.0482,47.7773,0.4686,0.2529,0.2061
LG1,600001,700000,652768,5282,3005,75.8079,31.6882,0.4104,0.1031,0.08
LG1,700001,800000,749022,5587,2898,122.5313,31.1719,0.5944,0.2144,0.1634
LG1,800001,900000,847454,5437,2606,77.3822,27.416,0.4768,0.1895,0.1359
LG1,900001,1000000,959251,4580,1886,81.7373,40.9847,0.3321,0.2167,0.1534
LG1,1000001,1100000,1050905,5664,2963,53.4017,23.5814,0.3874,0.0953,0.0662
LG1,1100001,1200000,1149813,4120,1996,85.0632,51.8652,0.2424,0.2443,0.147
LG1,1200001,1300000,1254408,5599,2831,53.904,59.3857,-0.0484,-0.0198,-0.012
LG1,1300001,1400000,1351304,6095,3096,45.7998,33.6175,0.1534,0.0386,0.0276
LG1,1400001,1500000,1452470,3509,1727,42.542,12.4508,0.5472,0.204,0.1285
LG1,1500001,1600000,1542051,5108,2626,19.8376,9.5016,0.3523,0.0377,0.0321
LG1,1600001,1700000,1647341,6416,3748,66.6563,23.0313,0.4864,0.1031,0.0739
LG1,1700001,1800000,1754870,5748,3103,90.4401,42.8333,0.3572,0.1412,0.0924
LG1,1800001,1900000,1845506,7012,3571,56.0277,57.0537,-0.0091,-0.002,-0.0015
LG1,1900001,2000000,1970213,2225,1179,52.9681,33.0098,0.2321,0.1445,0.0931
LG1,2000001,2100000,2049335,7353,4019,162.179,61.252,0.4517,0.244,0.1623
LG1,2100001,2200000,2142535,5649,2927,114.7305,24.6055,0.6468,0.297,0.1967
LG1,2200001,2300000,2246870,5808,3245,213.9144,26.443,0.78,0.3172,0.2069
LG1,2300001,2400000,2343462,5116,2496,66.7816,30.7373,0.3696,0.1826,0.1173
LG1,2400001,2500000,2460004,4760,2577,47.2747,17.4388,0.461,0.0911,0.0685
LG1,2500001,2600000,2549088,7178,3925,51.6781,53.1312,-0.0139,-0.0041,-0.0028
LG1,2600001,2700000,2650618,7145,3959,56.1064,53.557,0.0232,0.0051,0.0036
LG1,2700001,2800000,2760293,4748,2381,51.0163,28.1543,0.2888,0.0788,0.0555
LG1,2800001,2900000,2854430,6229,3210,80.9144,35.5003,0.3901,0.1293,0.0968
LG1,2900001,3000000,2948285,5778,3192,76.3825,96.2835,-0.1153,-0.08,-0.0461
LG1,3000001,3100000,3050647,6834,3938,46.3115,28.5355,0.2375,0.047,0.0325
LG1,3100001,3200000,3153855,6747,3904,46.6302,33.7031,0.1609,0.0311,0.0227
LG1,3200001,3300000,3248304,6982,3704,58.973,49.0563,0.0918,0.0281,0.019
LG1,3300001,3400000,3345767,5885,2999,17.6807,15.514,0.0653,0.007,0.0054
LG1,3400001,3500000,3452604,4493,2444,19.6605,9.5589,0.3457,0.0259,0.022
LG1,3500001,3600000,3549079,7226,3705,40.5596,32.6117,0.1086,0.0139,0.0109
LG1,3600001,3700000,3648994,5886,2814,32.3089,21.8167,0.1938,0.0226,0.017
LG1,3700001,3800000,3752511,8041,4381,74.0329,62.1761,0.087,0.0235,0.0169
LG1,3800001,3900000,3848580,7495,3532,61.0775,61.6947,-0.005,-0.0011,-0.0008
LG1,3900001,4000000,3948917,7282,3446,31.0618,50.1999,-0.2355,-0.0333,-0.0235
LG1,4000001,4100000,4048355,7057,3660,41.4863,49.2832,-0.0859,-0.0147,-0.0099
LG1,4100001,4200000,4159511,5238,2912,16.3477,9.7565,0.2525,0.0148,0.0127
LG1,4200001,4300000,4251452,7505,4129,46.2995,35.0156,0.1388,0.018,0.0139
LG1,4300001,4400000,4357686,6175,3073,56.4844,57.2969,-0.0071,-0.0025,-0.0016
LG1,4400001,4500000,4451545,7026,3992,94.3402,202.4678,-0.3643,-0.1836,-0.1128
LG1,4500001,4600000,4548602,7278,3686,47.7031,30.2995,0.2231,0.0347,0.0267
LG1,4600001,4700000,4649520,8185,4382,93.9235,104.5876,-0.0537,-0.014,-0.0109
LG1,4700001,4800000,4741353,6517,3320,120.2806,52.1217,0.3953,0.1162,0.089
LG1,4800001,4900000,4859361,5183,2887,40.5882,32.3799,0.1125,0.0167,0.0129
LG1,4900001,5000000,4943351,4419,2347,100.3711,20.9935,0.654,0.2317,0.1512
LG1,5000001,5100000,5050336,8144,4548,167.0954,48.1761,0.5524,0.1954,0.1443
LG1,5100001,5200000,5145408,6822,3477,118.6774,76.9847,0.2131,0.089,0.0554
LG1,5200001,5300000,5263455,5213,2800,70.5202,69.6868,0.0059,0.0047,0.0026
LG1,5300001,5400000,5349400,5680,3125,115.2936,94.4603,0.0993,0.1016,0.0576
LG1,5400001,5500000,5443686,6894,3677,87.2718,119.7979,-0.1571,-0.0814,-0.0552
LG1,5500001,5600000,5548683,7972,4371,129.4997,50.5804,0.4382,0.1531,0.1198
LG1,5600001,5700000,5652395,7118,3770,206.7035,55.9769,0.5738,0.4921,0.2247
LG1,5700001,5800000,5750920,6038,2703,99.5954,57.861,0.2651,0.143,0.0742
LG1,5800001,5900000,5844022,6088,2646,103.9958,43.9124,0.4062,0.1898,0.1271
LG1,5900001,6000000,5948488,5236,2013,65.6221,69.1611,-0.0263,-0.0212,-0.0123
LG1,6000001,6100000,6043896,4471,2084,80.89,52.028,0.2171,0.1899,0.1026
LG1,6100001,6200000,6151324,3698,1713,64.9932,48.3577,0.1468,0.124,0.0591
LG1,6200001,6300000,6272588,2215,714,31.8512,14.3669,0.3783,0.2522,0.1395
LG1,6300001,6400000,6347929,5722,3141,189.0993,39.5654,0.6539,0.4409,0.3038
LG1,6400001,6500000,6433894,4638,2511,51.5934,56.5778,-0.0461,-0.0409,-0.0186
LG1,6500001,6600000,6547867,4795,2196,55.3626,116.985,-0.3575,-0.6082,-0.1952
LG1,6600001,6700000,6651711,8014,3903,118.8294,64.9596,0.2931,0.1215,0.0802
LG1,6700001,6800000,6758019,6948,3508,95.9678,73.9704,0.1294,0.0882,0.0514
