scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
LG1,1,100000,45859,4726,2660,27.9656,70.5698,-0.4324,-0.1218,-0.0705
LG1,100001,200000,152738,5533,2762,42.2974,31.7682,0.1422,0.0322,0.0185
LG1,200001,300000,251487,6517,3415,68.7573,73.7323,-0.0349,-0.0097,-0.0056
LG1,300001,400000,347053,7176,3742,272.4547,65.5714,0.612,0.2347,0.1644
LG1,400001,500000,452235,6489,3462,71.6599,35.0932,0.3425,0.0868,0.0422
LG1,500001,600000,545967,5196,2605,124.999,28.724,0.6263,0.2443,0.1267
LG1,600001,700000,652768,5282,2775,86.7896,50.9646,0.2601,0.0685,0.0384
LG1,700001,800000,749022,5587,2699,143.2578,40.887,0.5559,0.2427,0.1182
LG1,800001,900000,847454,5437,2801,129.1599,28.8599,0.6347,0.3522,0.1614
LG1,900001,1000000,959251,4580,2320,150.3922,42.5755,0.5587,0.3727,0.168
LG1,1000001,1100000,1050905,5664,3364,159.2505,84.9672,0.3042,0.1321,0.0732
LG1,1100001,1200000,1149813,4120,2015,95.1578,60.7953,0.2203,0.1752,0.1024
LG1,1200001,1300000,1254408,5599,2691,71.1188,72.4604,-0.0093,-0.003,-0.0021
LG1,1300001,1400000,1351304,6095,3396,98.5427,42.3177,0.3992,0.1341,0.0651
LG1,1400001,1500000,1452470,3509,1798,64.0458,29.6083,0.3677,0.2339,0.0739
LG1,1500001,1600000,1542051,5108,2927,110.0156,37.1823,0.4948,0.1707,0.0824
LG1,1600001,1700000,1647341,6416,3821,81.2599,58.1807,0.1655,0.0398,0.0219
LG1,1700001,1800000,1754870,5748,2810,66.2557,51.5349,0.125,0.0357,0.0208
LG1,1800001,1900000,1845506,7012,3864,66.6193,100.1401,-0.201,-0.0594,-0.0348
LG1,1900001,2000000,1970213,2225,1255,34.7823,62.849,-0.2875,-0.1575,-0.0745
LG1,2000001,2100000,2049335,7353,4284,80.3714,55.9505,0.1791,0.0438,0.0257
LG1,2100001,2200000,2142535,5649,3178,95.5359,38.9443,0.4208,0.1237,0.0657
LG1,2200001,2300000,2246870,5808,3652,70.8333,53.525,0.1392,0.0421,0.0225
LG1,2300001,2400000,2343462,5116,2876,73.2406,58.3698,0.113,0.0492,0.0282
LG1,2400001,2500000,2460004,4760,2808,63.9208,23.475,0.4628,0.0986,0.0562
LG1,2500001,2600000,2549088,7178,4174,106.9698,60.8698,0.2747,0.0917,0.0477
LG1,2600001,2700000,2650618,7145,4126,95.0401,82.0609,0.0733,0.0215,0.0126
LG1,2700001,2800000,2760293,4748,2532,64.9688,37.0979,0.2731,0.0818,0.0473
LG1,2800001,2900000,2854430,6229,3519,128.8719,39.4719,0.5311,0.1847,0.1007
LG1,2900001,3000000,2948285,5778,3565,136.226,63.876,0.3616,0.1933,0.0861
LG1,3000001,3100000,3050647,6834,4240,67.7344,54.4719,0.1085,0.0273,0.0142
LG1,3100001,3200000,3153855,6747,4215,88.6359,59.6943,0.1951,0.0591,0.0313
LG1,3200001,3300000,3248304,6982,4243,88.0693,45.5359,0.3184,0.0989,0.0455
LG1,3300001,3400000,3345767,5885,3359,58.749,21.2031,0.4696,0.0853,0.047
LG1,3400001,3500000,3452604,4493,2656,31.8073,33.3448,-0.0236,-0.0046,-0.0026
LG1,3500001,3600000,3549079,7226,3886,107.9031,75.5365,0.1764,0.0496,0.0276
LG1,3600001,3700000,3648994,5886,3136,34.9208,66.2458,-0.3096,-0.0623,-0.0373
LG1,3700001,3800000,3752511,8041,4841,192.8859,73.2109,0.4497,0.1707,0.0919
LG1,3800001,3900000,3848580,7495,4075,98.0365,49.124,0.3324,0.0877,0.0516
LG1,3900001,4000000,3948917,7282,4014,59.1891,110.1016,-0.3007,-0.0859,-0.047
LG1,4000001,4100000,4048355,7057,4092,129.2896,100.9896,0.1229,0.046,0.0247
LG1,4100001,4200000,4159511,5238,3314,76.6302,31.6677,0.4152,0.0785,0.0538
LG1,4200001,4300000,4251452,7505,4535,61.4036,76.9786,-0.1126,-0.027,-0.0156
LG1,4300001,4400000,4357686,6175,3552,60.9005,69.8714,-0.0686,-0.0262,-0.0149
LG1,4400001,4500000,4451545,7026,4287,88.4901,56.5526,0.2202,0.0638,0.0383
LG1,4500001,4600000,4548602,7278,4266,104.1333,51.3958,0.3391,0.0943,0.0543
LG1,4600001,4700000,4649520,8185,4726,86.8484,63.8068,0.1529,0.04,0.0232
LG1,4700001,4800000,4741353,6517,3738,123.1859,122.0318,0.0047,0.0015,0.0008
LG1,4800001,4900000,4859361,5183,2968,39.7667,86.9958,-0.3726,-0.0775,-0.0511
LG1,4900001,5000000,4943351,4419,2161,49.7656,53.0115,-0.0316,-0.0141,-0.007
LG1,5000001,5100000,5050336,8144,4358,67.437,91.837,-0.1532,-0.0515,-0.0277
LG1,5100001,5200000,5145408,6822,4002,122.5693,122.0609,0.0021,0.0011,0.0006
LG1,5200001,5300000,5263455,5213,3213,109.6339,96.3214,0.0646,0.083,0.0252
LG1,5300001,5400000,5349400,5680,3242,164.4016,112.9266,0.1856,0.2016,0.0963
LG1,5400001,5500000,5443686,6894,3548,41.2411,140.6286,-0.5465,-0.3237,-0.1609
LG1,5500001,5600000,5548683,7972,4444,58.7521,107.6896,-0.294,-0.0846,-0.0532
LG1,5600001,5700000,5652395,7118,3993,309.9083,42.7417,0.7576,0.3431,0.2464
LG1,5700001,5800000,5750920,6038,2796,82.3073,38.9948,0.3571,0.0797,0.0515
LG1,5800001,5900000,5844022,6088,2774,102.9901,58.8568,0.2727,0.1146,0.0674
LG1,5900001,6000000,5948488,5236,2322,180.5109,53.7109,0.5414,0.4743,0.2603
LG1,6000001,6100000,6043896,4471,2076,105.3844,95.3677,0.0499,0.0379,0.0193
LG1,6100001,6200000,6151324,3698,1857,66.0406,73.4948,-0.0534,-0.0431,-0.0202
LG1,6200001,6300000,6272588,2215,953,54.9844,13.3927,0.6083,0.4054,0.2007
LG1,6300001,6400000,6347929,5722,2984,88.676,74.1677,0.0891,0.0515,0.0255
LG1,6400001,6500000,6433894,4638,2539,59.212,39.2661,0.2025,0.1326,0.0654
LG1,6500001,6600000,6547867,4795,2327,92.6172,93.7839,-0.0063,-0.0043,-0.0027
LG1,6600001,6700000,6651711,8014,4093,366.7844,81.1427,0.6377,0.3729,0.2407
LG1,6700001,6800000,6758019,6948,3999,152.9271,93.2646,0.2423,0.1584,0.0673
LG1,6800001,6900000,6848964,7836,4489,161.1583,151.7458,0.0301,0.0245,0.0112
LG1,6900001,7000000,6950230,4236,2470,62.6844,73.3677,-0.0785,-0.0572,-0.0276
LG1,7000001,7100000,7056190,6781,3300,126.088,114.8422,0.0467,0.0288,0.0108
LG1,7100001,7200000,7148076,6508,3131,166.1193,41.4234,0.6008,0.39,0.2422
LG1,7200001,7300000,7256341,3926,1996,82.5167,34.1833,0.4142,0.2658,0.1523
LG1,7300001,7400000,7351539,6956,4292,216.2167,80.1583,0.4591,0.2766,0.1786
LG1,7400001,7500000,7455752,8171,4107,108.8901,72.4068,0.2012,0.1097,0.0626
LG1,7500001,7600000,7538111,5018,2325,48.2177,40.2219,0.0904,0.0438,0.0293
LG1,7600001,7700000,7665305,6821,3198,126.1823,76.5823,0.2446,0.1715,0.0983
LG1,7700001,7800000,7742571,7571,3713,148.887,92.8536,0.2318,0.1084,0.0698
LG1,7800001,7900000,7851765,5275,2834,68.2578,67.112,0.0085,0.0045,0.0026
LG1,7900001,8000000,7951533,9939,5628,130.7917,91.1583,0.1786,0.0576,0.0377
LG1,8000001,8100000,8053502,7323,3425,304.6667,34.9667,0.7941,0.3222,0.2548
LG1,8100001,8200000,8143066,4052,1254,72.4167,22.875,0.5199,0.435,0.1779
LG1,8200001,8300000,8246057,5103,2352,89.7255,68.7839,0.1321,0.096,0.0402
LG1,8300001,8400000,8349203,5570,3069,40.4448,38.1073,0.0298,0.0142,0.0052
LG1,8400001,8500000,8453798,6896,3089,65.9063,91.8479,-0.1644,-0.0452,-0.0306
LG1,8500001,8600000,8545700,4039,2307,51.4359,41.3484,0.1087,0.054,0.0247
LG1,8600001,8700000,8658999,7333,4303,234.9807,168.2307,0.1655,0.1443,0.0548
LG1,8700001,8800000,8742193,8541,4688,114.6203,82.387,0.1636,0.0579,0.0309
LG1,8800001,8900000,8851731,9887,5397,92.262,209.037,-0.3876,-0.1717,-0.0994
LG1,8900001,9000000,8952213,6378,3360,68.5667,88.2083,-0.1253,-0.0485,-0.0285
LG1,9000001,9100000,9050702,5841,3398,78.1271,118.2687,-0.2044,-0.128,-0.0603
LG1,9100001,9200000,9148617,7761,3739,71.6828,119.0953,-0.2485,-0.1528,-0.061
LG1,9200001,9300000,9246403,7371,3524,82.4651,47.0943,0.273,0.0987,0.0523
LG1,9300001,9400000,9334820,4792,2477,40.4391,80.5682,-0.3316,-0.1578,-0.0864
LG1,9400001,9500000,9463398,7402,3969,132.6828,141.7245,-0.0329,-0.0278,-0.0139
LG1,9500001,9600000,9542112,6185,3307,93.9313,64.0479,0.1892,0.1301,0.0658
LG1,9600001,9700000,9651391,6527,3048,68.1906,69.5906,-0.0102,-0.0054,-0.0033
LG1,9700001,9800000,9746904,6299,2961,84.287,52.5411,0.232,0.1238,0.0622
LG1,9800001,9900000,9844823,9408,4670,149.5089,213.8464,-0.1771,-0.1113,-0.0644
LG1,9900001,10000000,9951515,10011,5402,219.5266,115.8266,0.3092,0.1921,0.105
LG1,10000001,10100000,10048640,9196,5041,275.8042,115.9375,0.4081,0.1986,0.1136
LG1,10100001,10200000,10143707,9288,4661,89.8479,159.0021,-0.2779,-0.1297,-0.0592
LG1,10200001,10300000,10249395,8769,4406,120.4594,89.051,0.1499,0.0594,0.036
LG1,10300001,10400000,10349946,9097,5079,118.2661,130.0078,-0.0473,-0.0194,-0.0112
LG1,10400001,10500000,10440998,5899,3320,104.4958,100.8583,0.0177,0.0071,0.0039
LG1,10500001,10600000,10552259,9979,5462,156.087,158.7578,-0.0085,-0.0032,-0.0018
LG1,10600001,10700000,10646939,9527,5405,158.888,132.6005,0.0902,0.0305,0.0183
LG1,10700001,10800000,10750705,8034,4556,101.2698,76.224,0.1411,0.0468,0.0252
LG1,10800001,10900000,10847018,10153,5838,216.2448,104.299,0.3492,0.153,0.0729
LG1,10900001,11000000,10950256,9087,5365,135.9115,153.999,-0.0624,-0.0278,-0.0151
LG1,11000001,11100000,11050021,7401,3783,66.8219,105.601,-0.2249,-0.1054,-0.0455
LG1,11100001,11200000,11146255,8851,5047,183.3068,104.1901,0.2752,0.1117,0.0554
LG1,11200001,11300000,11253959,6292,3759,131.875,58.9167,0.3824,0.1586,0.0871
LG1,11300001,11400000,11350168,9383,4970,136.587,87.1453,0.221,0.0784,0.0437
LG1,11400001,11500000,11443365,4553,2476,114.8495,75.6786,0.2056,0.1843,0.0968
LG1,11500001,11600000,11549048,7981,4084,118.7891,119.4182,-0.0026,-0.0015,-0.0008
LG1,11600001,11700000,11650068,8721,4688,217.037,140.062,0.2156,0.1333,0.0672
LG1,11700001,11800000,11749912,6030,3245,123.1422,75.9922,0.2368,0.1229,0.0689
LG1,11800001,11900000,11853440,8069,4511,215.0271,80.0938,0.4572,0.2148,0.119
LG1,11900001,12000000,11947969,8733,4875,128.6724,132.8974,-0.0162,-0.0064,-0.0035
LG1,12000001,12100000,12051798,6027,3398,60.6437,14.5479,0.613,0.0899,0.0591
LG1,12100001,12200000,12151088,5417,3431,68.3984,23.5359,0.488,0.0865,0.0556
LG1,12200001,12300000,12262028,6412,3616,110.2917,50.1917,0.3745,0.1149,0.0673
LG1,12300001,12400000,12349437,7311,4186,201.1771,52.9104,0.5835,0.3629,0.1788
LG1,12400001,12500000,12450983,6501,3976,163.8802,120.7594,0.1515,0.0682,0.0447
LG1,12500001,12600000,12546105,7818,4590,115.1755,61.3172,0.3052,0.113,0.0617
LG1,12600001,12700000,12648092,5340,2672,7.1073,8.0906,-0.0647,-0.0029,-0.0023
LG1,12700001,12800000,12744264,4881,2473,103.5578,33.8828,0.5069,0.1443,0.0898
LG1,12800001,12900000,12856418,8066,3932,61.5896,124.5271,-0.3382,-0.0985,-0.0559
LG1,12900001,13000000,12950378,6861,3796,201.4078,53.3661,0.5811,0.2531,0.1436
LG1,13000001,13100000,13048164,6836,3727,102.2969,50.976,0.3348,0.0931,0.0558
LG1,13100001,13200000,13146318,6775,3901,79.8516,30.3724,0.4489,0.097,0.0577
LG1,13200001,13300000,13255233,7383,3687,93.8453,78.9995,0.0859,0.026,0.0153
LG1,13300001,13400000,13347152,6601,3835,134.6719,60.3052,0.3814,0.1308,0.0698
LG1,13400001,13500000,13452811,7423,4056,160.2354,36.6729,0.6275,0.223,0.1186
