scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
LG1,1,100000,45859,4726,2444,77.657,15.0055,0.6761,0.1802,0.1377
LG1,100001,200000,152738,5533,2683,60.9573,20.537,0.496,0.154,0.1112
LG1,200001,300000,251487,6517,3332,99.3268,32.0148,0.5125,0.1978,0.1457
LG1,300001,400000,347053,7176,3477,102.0138,13.0169,0.7737,0.1892,0.1412
LG1,400001,500000,452235,6489,3226,63.6742,59.4753,0.0341,0.0136,0.0073
LG1,500001,600000,545967,5196,2527,79.7693,40.7568,0.3237,0.1459,0.1109
LG1,600001,700000,652768,5282,2756,43.0221,25.6784,0.2525,0.0464,0.035
LG1,700001,800000,749022,5587,2539,45.8091,21.9924,0.3513,0.0734,0.0607
LG1,800001,900000,847454,5437,2513,35.8409,32.982,0.0415,0.0139,0.0107
LG1,900001,1000000,959251,4580,1905,107.2331,29.3138,0.5706,0.3525,0.2482
LG1,1000001,1100000,1050905,5664,3011,46.9128,23.9122,0.3248,0.078,0.0547
LG1,1100001,1200000,1149813,4120,1919,171.6292,41.0385,0.6141,0.5298,0.412
LG1,1200001,1300000,1254408,5599,2972,77.7641,74.6552,0.0204,0.0098,0.007
LG1,1300001,1400000,1351304,6095,3151,52.2628,21.7263,0.4127,0.0943,0.0739
LG1,1400001,1500000,1452470,3509,1748,53.5576,12.3383,0.6255,0.2472,0.1799
LG1,1500001,1600000,1542051,5108,2755,30.9612,12.1503,0.4363,0.0635,0.0556
LG1,1600001,1700000,1647341,6416,3955,79.5417,41.4854,0.3144,0.0846,0.0655
LG1,1700001,1800000,1754870,5748,3045,64.9393,81.1253,-0.1108,-0.0515,-0.0316
LG1,1800001,1900000,1845506,7012,3469,44.3833,64.5833,-0.1854,-0.0416,-0.0304
LG1,1900001,2000000,1970213,2225,1218,56.0794,33.1638,0.2568,0.1573,0.085
LG1,2000001,2100000,2049335,7353,4143,172.1557,75.9193,0.3879,0.217,0.1319
LG1,2100001,2200000,2142535,5649,2977,108.8438,34.3552,0.5202,0.2416,0.1519
