scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
LG1,1,100000,45859,4726,2407,24.5698,64.5281,-0.4485,-0.1047,-0.0632
LG1,100001,200000,152738,5533,2652,42.6849,30.7057,0.1632,0.0334,0.0199
LG1,200001,300000,251487,6517,3507,50.9625,73.6542,-0.1821,-0.0454,-0.0259
LG1,300001,400000,347053,7176,3623,270.4865,61.7115,0.6285,0.2349,0.1649
LG1,400001,500000,452235,6489,2943,103.7448,43.849,0.4058,0.1215,0.0637
LG1,500001,600000,545967,5196,2576,125.824,30.1615,0.6133,0.255,0.1291
LG1,600001,700000,652768,5282,2631,66.5469,85.8552,-0.1267,-0.0391,-0.0214
LG1,700001,800000,749022,5587,2683,112.9729,50.5479,0.3818,0.154,0.0731
LG1,800001,900000,847454,5437,2717,126.4224,30.7682,0.6085,0.3434,0.1553
LG1,900001,1000000,959251,4580,2235,72.9557,67.2724,0.0405,0.0161,0.0079
LG1,1000001,1100000,1050905,5664,3156,156.2359,83.5193,0.3033,0.1165,0.0678
LG1,1100001,1200000,1149813,4120,1995,124.7797,55.363,0.3853,0.2609,0.1701
LG1,1200001,1300000,1254408,5599,2707,91.1422,51.6047,0.277,0.0832,0.0593
LG1,1300001,1400000,1351304,6095,3250,103.6755,34.1214,0.5048,0.1614,0.0798
LG1,1400001,1500000,1452470,3509,1692,45.7901,26.1609,0.2728,0.1045,0.0391
LG1,1500001,1600000,1542051,5108,2862,111.8464,32.4047,0.5507,0.182,0.0895
LG1,1600001,1700000,1647341,6416,3808,80.3224,54.6307,0.1904,0.0456,0.0248
LG1,1700001,1800000,1754870,5748,2774,83.7687,70.1146,0.0887,0.0386,0.0209
LG1,1800001,1900000,1845506,7012,3587,77.7714,103.8964,-0.1438,-0.0451,-0.0267
LG1,1900001,2000000,1970213,2225,1185,32.7849,41.4307,-0.1165,-0.046,-0.0229
LG1,2000001,2100000,2049335,7353,3903,111.0948,34.9448,0.5214,0.1266,0.0774
LG1,2100001,2200000,2142535,5649,2900,95.4286,37.3203,0.4377,0.1284,0.0681
LG1,2200001,2300000,2246870,5808,3123,76.963,53.013,0.1843,0.053,0.0296
LG1,2300001,2400000,2343462,5116,2706,100.7776,46.6609,0.367,0.1793,0.1034
LG1,2400001,2500000,2460004,4760,2680,59.8083,14.6708,0.606,0.1032,0.0607
LG1,2500001,2600000,2549088,7178,4005,118.6521,55.8062,0.3602,0.1238,0.0647
LG1,2600001,2700000,2650618,7145,3907,92.8307,88.0057,0.0267,0.0077,0.0046
LG1,2700001,2800000,2760293,4748,2399,47.3068,39.4901,0.0901,0.0215,0.0128
LG1,2800001,2900000,2854430,6229,3288,123.1115,44.5448,0.4686,0.1501,0.0847
LG1,2900001,3000000,2948285,5778,3414,175.8776,35.1068,0.6672,0.3216,0.1576
LG1,3000001,3100000,3050647,6834,4005,66.7344,52.376,0.1205,0.0276,0.0149
LG1,3100001,3200000,3153855,6747,4007,80.5484,63.7109,0.1167,0.0331,0.0179
LG1,3200001,3300000,3248304,6982,3846,82.6714,69.6964,0.0852,0.0294,0.0136
LG1,3300001,3400000,3345767,5885,3225,57.375,19.5125,0.4924,0.0844,0.0469
LG1,3400001,3500000,3452604,4493,2394,31.4703,37.2495,-0.0841,-0.0167,-0.0095
LG1,3500001,3600000,3549079,7226,3841,107.5953,89.1536,0.0937,0.0268,0.0152
LG1,3600001,3700000,3648994,5886,3103,33.038,60.588,-0.2943,-0.0558,-0.0332
LG1,3700001,3800000,3752511,8041,4529,184.6781,77.8531,0.4069,0.1466,0.0803
LG1,3800001,3900000,3848580,7495,3871,93.3203,51.3953,0.2897,0.07,0.0424
LG1,3900001,4000000,3948917,7282,3840,57.363,96.6755,-0.2552,-0.064,-0.0356
LG1,4000001,4100000,4048355,7057,3887,117.1396,111.1271,0.0263,0.0097,0.0052
LG1,4100001,4200000,4159511,5238,3274,76.4542,31.6458,0.4145,0.0812,0.0549
LG1,4200001,4300000,4251452,7505,4250,67.9734,77.8484,-0.0677,-0.0165,-0.0097
LG1,4300001,4400000,4357686,6175,3192,41.1526,105.2359,-0.4378,-0.184,-0.1045
LG1,4400001,4500000,4451545,7026,3765,99.2813,62.3104,0.2288,0.0767,0.0453
LG1,4500001,4600000,4548602,7278,4016,89.9828,72.0245,0.1108,0.0322,0.0183
LG1,4600001,4700000,4649520,8185,4437,85.0724,63.7099,0.1436,0.0365,0.0211
LG1,4700001,4800000,4741353,6517,3645,124.8641,133.5057,-0.0334,-0.0127,-0.0063
LG1,4800001,4900000,4859361,5183,2795,49.5135,80.3969,-0.2377,-0.0743,-0.0422
LG1,4900001,5000000,4943351,4419,1935,45.4438,55.1604,-0.0966,-0.0444,-0.0219
LG1,5000001,5100000,5050336,8144,4211,70.199,59.574,0.0819,0.0205,0.0117
LG1,5100001,5200000,5145408,6822,3720,140.8391,83.8224,0.2538,0.1051,0.0597
LG1,5200001,5300000,5263455,5213,3084,128.8516,54.5849,0.4049,0.3021,0.1246
LG1,5300001,5400000,5349400,5680,3155,163.9276,98.1443,0.251,0.2261,0.116
LG1,5400001,5500000,5443686,6894,3329,71.2427,129.6135,-0.2906,-0.1763,-0.0913
LG1,5500001,5600000,5548683,7972,4086,58.2068,119.4526,-0.3447,-0.1066,-0.0667
LG1,5600001,5700000,5652395,7118,3875,228.8542,66.9792,0.5472,0.2253,0.157
LG1,5700001,5800000,5750920,6038,2778,92.9526,49.3151,0.3067,0.0999,0.0589
LG1,5800001,5900000,5844022,6088,2724,88.1911,65.7036,0.1461,0.0615,0.0353
LG1,5900001,6000000,5948488,5236,2332,125.6276,93.8568,0.1448,0.1305,0.0659
LG1,6000001,6100000,6043896,4471,2017,107.2698,104.3448,0.0138,0.0136,0.0061
LG1,6100001,6200000,6151324,3698,1847,83.4891,69.9932,0.0879,0.0813,0.0378
LG1,6200001,6300000,6272588,2215,966,51.2839,18.4172,0.4715,0.3233,0.1558
