scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
LG1,1,100000,45859,4726,2366,24.8299,64.7188,-0.4454,-0.1014,-0.0619
LG1,100001,200000,152738,5533,2669,41.0495,31.6085,0.1299,0.0256,0.0154
LG1,200001,300000,251487,6517,3420,56.7444,69.7513,-0.1028,-0.0251,-0.0145
LG1,300001,400000,347053,7176,3671,268.1654,62.4709,0.6221,0.2255,0.1595
LG1,400001,500000,452235,6489,3162,94.2852,56.997,0.2465,0.078,0.0402
LG1,500001,600000,545967,5196,2609,127.3989,29.5864,0.6231,0.2413,0.1268
LG1,600001,700000,652768,5282,2740,69.135,76.6871,-0.0518,-0.0163,-0.0086
LG1,700001,800000,749022,5587,2766,141.8945,41.7661,0.5452,0.244,0.1169
LG1,800001,900000,847454,5437,2747,114.6706,30.122,0.5839,0.2959,0.1364
LG1,900001,1000000,959251,4580,2278,103.638,56.079,0.2978,0.1456,0.0693
LG1,1000001,1100000,1050905,5664,3187,155.987,82.8585,0.3062,0.1213,0.0695
LG1,1100001,1200000,1149813,4120,1953,89.1701,63.6285,0.1672,0.1275,0.0758
LG1,1200001,1300000,1254408,5599,2762,80.0582,51.2595,0.2193,0.0658,0.0455
LG1,1300001,1400000,1351304,6095,3247,98.2756,36.7721,0.4554,0.1372,0.0691
LG1,1400001,1500000,1452470,3509,1697,51.822,24.7908,0.3528,0.1485,0.0544
LG1,1500001,1600000,1542051,5108,2876,117.987,32.421,0.5689,0.197,0.0965
LG1,1600001,1700000,1647341,6416,3736,88.1302,62.1302,0.173,0.0482,0.0256
LG1,1700001,1800000,1754870,5748,2962,74.4883,62.6237,0.0865,0.0349,0.0185
LG1,1800001,1900000,1845506,7012,3827,82.5681,95.9605,-0.075,-0.0235,-0.0138
LG1,1900001,2000000,1970213,2225,1249,37.3598,46.3043,-0.1069,-0.048,-0.0235
LG1,2000001,2100000,2049335,7353,4139,103.1901,37.4575,0.4674,0.1156,0.0689
LG1,2100001,2200000,2142535,5649,3078,96.3819,40.4201,0.4091,0.1209,0.0646
LG1,2200001,2300000,2246870,5808,3195,78.3016,54.7391,0.1771,0.0533,0.0294
LG1,2300001,2400000,2343462,5116,2784,90.7257,50.9167,0.2811,0.1401,0.0786
LG1,2400001,2500000,2460004,4760,2731,63.6016,17.8481,0.5617,0.1104,0.0633
LG1,2500001,2600000,2549088,7178,4013,116.398,60.2209,0.3181,0.1052,0.0564
LG1,2600001,2700000,2650618,7145,4026,93.9049,90.6098,0.0179,0.0052,0.0031
LG1,2700001,2800000,2760293,4748,2379,41.5781,53.1302,-0.122,-0.03,-0.0183
LG1,2800001,2900000,2854430,6229,3367,128.2483,43.4948,0.4935,0.1624,0.0918
LG1,2900001,3000000,2948285,5778,3466,173.5169,30.3433,0.7023,0.3549,0.1672
LG1,3000001,3100000,3050647,6834,4032,62.1966,55.089,0.0606,0.0137,0.0074
LG1,3100001,3200000,3153855,6747,3904,74.322,58.3984,0.12,0.0292,0.0163
LG1,3200001,3300000,3248304,6982,3758,123.4453,45.0842,0.465,0.1643,0.08
LG1,3300001,3400000,3345767,5885,3255,60.3273,17.9071,0.5422,0.0901,0.0511
LG1,3400001,3500000,3452604,4493,2472,30.3016,38.1385,-0.1145,-0.0226,-0.0129
LG1,3500001,3600000,3549079,7226,4019,110.388,87.0061,0.1185,0.037,0.0202
LG1,3600001,3700000,3648994,5886,3119,30.3455,60.7795,-0.334,-0.0599,-0.036
LG1,3700001,3800000,3752511,8041,4645,187.5764,69.3611,0.4601,0.1618,0.089
LG1,3800001,3900000,3848580,7495,4021,99.9236,51.2083,0.3223,0.0834,0.05
LG1,3900001,4000000,3948917,7282,3907,62.1315,90.6905,-0.1869,-0.0454,-0.0254
LG1,4000001,4100000,4048355,7057,3823,134.5321,57.5495,0.4008,0.1057,0.062
LG1,4100001,4200000,4159511,5238,3291,75.7726,29.9253,0.4338,0.0788,0.0543
LG1,4200001,4300000,4251452,7505,4264,62.957,88.1029,-0.1665,-0.0409,-0.0244
LG1,4300001,4400000,4357686,6175,3361,62.1359,81.6984,-0.136,-0.0604,-0.033
LG1,4400001,4500000,4451545,7026,3864,88.2166,66.4562,0.1407,0.0453,0.0268
LG1,4500001,4600000,4548602,7278,4002,100.1328,69.105,0.1833,0.055,0.0316
LG1,4600001,4700000,4649520,8185,4511,62.8316,97.6233,-0.2168,-0.0611,-0.0347
LG1,4700001,4800000,4741353,6517,3739,128.0078,123.1398,0.0194,0.007,0.0035
LG1,4800001,4900000,4859361,5183,2990,49.9366,86.5894,-0.2685,-0.0867,-0.0496
LG1,4900001,5000000,4943351,4419,2055,58.8641,32.9996,0.2816,0.1071,0.056
LG1,5000001,5100000,5050336,8144,4344,72.4922,62.6589,0.0728,0.02,0.0111
LG1,5100001,5200000,5145408,6822,3795,130.306,88.6324,0.1903,0.0801,0.0448
LG1,5200001,5300000,5263455,5213,3124,113.5734,87.2088,0.1313,0.1238,0.0468
LG1,5300001,5400000,5349400,5680,3268,162.6398,131.8898,0.1044,0.1011,0.0533
LG1,5400001,5500000,5443686,6894,3370,54.6654,134.5716,-0.4223,-0.2383,-0.1256
LG1,5500001,5600000,5548683,7972,4177,58.7135,115.6962,-0.3267,-0.0948,-0.0605
LG1,5600001,5700000,5652395,7118,3892,145.4744,64.5195,0.3855,0.1217,0.083
LG1,5700001,5800000,5750920,6038,2809,92.2201,41.3902,0.3804,0.1027,0.0639
LG1,5800001,5900000,5844022,6088,2773,112.3793,59.2682,0.3094,0.1401,0.0819
LG1,5900001,6000000,5948488,5236,2251,175.7031,59.0399,0.497,0.3876,0.2242
LG1,6000001,6100000,6043896,4471,2061,95.615,100.0838,-0.0228,-0.0225,-0.0099
LG1,6100001,6200000,6151324,3698,1868,103.8325,55.8012,0.3009,0.2169,0.1197
LG1,6200001,6300000,6272588,2215,898,56.8034,9.7582,0.7068,0.3449,0.1956
LG1,6300001,6400000,6347929,5722,2857,84.2179,78.6797,0.034,0.0184,0.0095
LG1,6400001,6500000,6433894,4638,2460,54.852,44.6576,0.1024,0.0655,0.0331
LG1,6500001,6600000,6547867,4795,2377,130.2843,88.4683,0.1912,0.1747,0.1062
LG1,6600001,6700000,6651711,8014,3911,356.2539,80.9831,0.6296,0.3582,0.2315
LG1,6700001,6800000,6758019,6948,3817,151.2678,115.7678,0.1329,0.0988,0.0406
LG1,6800001,6900000,6848964,7836,4205,105.4865,233.8477,-0.3783,-0.3469,-0.1542
LG1,6900001,7000000,6950230,4236,2303,85.7917,51.0139,0.2542,0.1827,0.0896
LG1,7000001,7100000,7056190,6781,3156,92.4149,202.8524,-0.374,-0.3249,-0.1103
LG1,7100001,7200000,7148076,6508,3161,139.3294,61.9891,0.3842,0.1879,0.1243
LG1,7200001,7300000,7256341,3926,1960,94.2678,46.0664,0.3435,0.2432,0.1441
LG1,7300001,7400000,7351539,6956,4184,226.8872,85.1198,0.4544,0.2805,0.1828
LG1,7400001,7500000,7455752,8171,4053,110.4106,75.4523,0.1881,0.0863,0.053
LG1,7500001,7600000,7538111,5018,2273,37.4514,54.6146,-0.1864,-0.0793,-0.0538
LG1,7600001,7700000,7665305,6821,3269,123.3416,83.4457,0.1929,0.1312,0.0757
LG1,7700001,7800000,7742571,7571,4350,156.3238,69.8759,0.3822,0.2616,0.1449
LG1,7800001,7900000,7851765,5275,2726,62.9553,78.1984,-0.108,-0.0708,-0.0378
LG1,7900001,8000000,7951533,9939,5240,148.3099,105.23,0.1699,0.0715,0.0446
LG1,8000001,8100000,8053502,7323,2877,256.0252,49.4557,0.6762,0.3469,0.251
LG1,8100001,8200000,8143066,4052,1288,70.9766,29.9036,0.4071,0.3514,0.1458
LG1,8200001,8300000,8246057,5103,2380,87.5412,70.5551,0.1074,0.0823,0.0334
LG1,8300001,8400000,8349203,5570,2746,41.6011,55.5352,-0.1434,-0.0664,-0.0282
LG1,8400001,8500000,8453798,6896,3143,69.6042,87.9653,-0.1165,-0.0313,-0.0212
LG1,8500001,8600000,8545700,4039,2228,53.6237,40.4293,0.1403,0.0603,0.0299
LG1,8600001,8700000,8658999,7333,3908,234.7331,139.6463,0.254,0.173,0.0753
LG1,8700001,8800000,8742193,8541,4779,78.441,106.2847,-0.1507,-0.0483,-0.0261
LG1,8800001,8900000,8851731,9887,5421,82.4484,219.3268,-0.4536,-0.1941,-0.114
LG1,8900001,9000000,8952213,6378,3251,63.8403,105.9653,-0.2481,-0.1009,-0.0595
LG1,9000001,9100000,9050702,5841,3268,76.2895,147.293,-0.3176,-0.2272,-0.107
LG1,9100001,9200000,9148617,7761,3405,51.1571,146.9453,-0.4835,-0.2884,-0.1203
LG1,9200001,9300000,9246403,7371,3359,60.1641,105.487,-0.2736,-0.1317,-0.0668
LG1,9300001,9400000,9334820,4792,2286,36.1788,83.1406,-0.3936,-0.166,-0.0973
LG1,9400001,9500000,9463398,7402,3935,130.4297,97.1866,0.146,0.0969,0.0502
LG1,9500001,9600000,9542112,6185,3125,71.842,69.2448,0.0184,0.0105,0.0055
LG1,9600001,9700000,9651391,6527,3102,53.5946,81.23,-0.205,-0.1046,-0.0642
LG1,9700001,9800000,9746904,6299,2929,78.7799,61.8147,0.1207,0.051,0.0288
LG1,9800001,9900000,9844823,9408,4544,154.1563,202.2396,-0.1349,-0.07,-0.0429
LG1,9900001,10000000,9951515,10011,5207,209.8898,138.5634,0.2047,0.1254,0.0701
LG1,10000001,10100000,10048640,9196,4872,243.5369,120.4258,0.3383,0.1613,0.0888
LG1,10100001,10200000,10143707,9288,4482,94.398,139.7626,-0.1937,-0.0778,-0.0372
LG1,10200001,10300000,10249395,8769,4307,121.099,98.9948,0.1004,0.0399,0.0245
LG1,10300001,10400000,10349946,9097,5082,134.8937,124.0812,0.0418,0.0192,0.0107
LG1,10400001,10500000,10440998,5899,3282,151.6146,64.2188,0.4049,0.1823,0.0975
LG1,10500001,10600000,10552259,9979,5329,165.0725,168.4961,-0.0103,-0.0041,-0.0023
